뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,인물,위치,기관,키워드,keywords,본문,URL,분석제외 여부
01400351.20240207220442001,20240207,중도일보,이현제 기자,충남 스마트축산단지에 쏠린 눈 전국 최초로 첫 삽 뜰까?,지역>충남, 지역>강원, 지역>전남,김태흠,"스마트축산복,강릉,충남,윤영만,평창,스마트축,고흥,경북,스마트축산,간척지,울진,강원도,전남,농축산,경남","고흥,환경부,정부,농식품부,고성,축협,스마트팜,농림축산식품부,한경대학교,합천,충남도","충남,스마트,축산,단지,전국,지역경제,탄소저감효과,기대감,산적,우려목소리,조성,전국,축산,단지,성공사례,환경,민원,해결,구조,농업,전반,개혁,의지,지역,동시,최종보고회,충남,스마트,축산,복합,단지,용역,최종,보고회,김태흠,도지사,발언,모습,사진,충남도,제공,충남,스마트축산복합단지,전국,관심,지역경제발전,탄소저감효과,기대감,해결,목소리,6일,최종보고회,충남,간척지,활용,스마트,축산,복합,단지,조성,용역,최종,보고회,학계,전문가,기관,현업,종사자,참여,토론,진행,정부,스마트,축산,농가,조성,지원,2017년,전국,성공,사례,2019년,농림축산식품부,충남,강원도,고성,강릉,평창,경북,울진,경남,합천,전남,고흥,지자체,축산,단지,조성지,선정,강릉,평창,울진,합천,중도,포기,고성,문턱,환경,영향,평가,3년,지체,한우,축산,시설,고흥,주민설명회,의지,8월,환경영향평가,환경부,승인,상황,불용,예산,200여,사례,스마트축산단지,추진,인근,주민,반대,환경민원,지속,현업,종사자,축산단지,입주,폐업,참여,부담,수요,자체,부족,충남도,문제점,보완,주변,지역,모형,정주,여건,개선,산업,단지,입점,효과,의지,토론,참여,교수,한경대학교,윤영만,축산단지,지역,주민,동의,지역개발,모형,농업인,자체,농업,전기,조항,법률,추진,철저,준비,주장,이날,보고회,의견들,종합,최종연구용역보고서,용역,토대,4월,스마트축산복합단지추진TF,구성,계획,농식품부,협의,간척지,활용,사업,구역,변경,지정,신청,본격적,양돈,사업자,대상,수요조사,입주,의향,수요,조사,시작,사업체,축산,단지,건축,지정,실시계획,수립,상반기,착공,김태흠,도지사,농축산업구조,미래,대응,구조,생각,스마트축산단지,추진,각종,시설,대기업,입주,축협,도축장,조성,스마트팜,앵커기업,혜택,국가,농업,방향","축산단지,충남,보고회,간척지,스마트축산복합단지,충남도,합천,고성,탄소저감효과,울진,고흥,환경영향평가,환경민원,지역개발,스마트축산단지,조성지,상반기,도지사,김태흠,평창,강릉,한경대학교,윤영만,지자체,기대감,종사자","6일 충남 스마트축산복합단지 연구용역 최종보고회에서 김태흠 도지사가 발언하는 모습. (사진=충남도 제공)충남 스마트축산복합단지가 전국 최초로 첫 삽을 뜨게 될지 관심이 쏠리고 있다.
지역경제발전과 탄소저감효과에선 기대감도 많지만, 해결해야 할 과제 또한 많아 우려 목소리도 적진 않다.
6일 열린 충남 간척지 활용 스마트축산복합단지 조성 연구용역 최종보고..",https://www.joongdo.co.kr/web/view.php?key=20240206010001872,
01400201.20240205184548001,20240205,대전일보,박계교 기자,"[대일응접실] ""직원과 소통 강화 구민들에 다가가는 행정 최선""",지역>대전, 지역>전북, 지역>광주,"대전시,기획조정실장,권한,연수원,서철모,이장우,서","월평동,둔산동,직주,대덕연구단지,충남,서구,둔산,홍성군,구봉산,대전,충청남도,대전과학정원,영국,중부,도룡동,대전시장,천안시,노루벌,만년동,첨단복합산업단지,한밭정원,갑천친수,유성구,구의,괴정동,대전미래전략위원장,개진,갑천,도심","대전 서구청,엑시터대학교,서구,국방과학연구소,카이스트,작년,공주대학교,IoT,행정안전부,정부,㈜두드림,환경생태정원,UN,충남대,행정자치부,국민의힘,기계연구원,대전고,KT,국회,안전행정부,노루벌,방사청,방위사업청,서구청,마사회","직원,소통,강화,구민들,행정,최선,방위사업청,성과,노루벌,국가,정원,조성,추진,둔산,지구,단위,계획,협력,대전,서구청장,대담,박계교,디지털뉴스2팀장,변화,혁신,서구,민선,슬로,서철모,서구청장,서구,민선,구민,행복,발전,역량,집결,실행,방법,추진,결과,의미,변화,성과,미래,준비,토대,구청장,설명,바탕,실질적,성과,창출,중요,강조,재도약,서구,지혜,용맹,구민들,미래,약속,구청장,서철모,서구청장,접견실,서구청,구민,약속사업,분야,공약,사업,구민들,체감,가시적,성과,강조,취임,구정,변화,정책적,아이디어,구체화,역할,공무원들,직원,구청장,소통,상황,대처,신속,직원들,채널,소통,재난,부서들,재난,부서,단톡방,운영,단톡방,얘기,연관,부서들,하천,수량,점검,교통,통제,후속,조치,서구,대전,인구,자치,민원,민원,직원,구청장,소통,고민,해결,노력,직원들,실질적,주민들,행정,공감대,형성,자신감,방위사업청,방위사업청,방위,사업청,서구,예산,종사자,방사청,서구,비하인드,이장우,시장,설득,방사청,직원,둔산동,청사,버스,지하철,공원,학군,지리적,부각,노력,방사청,서구,한몫,방사청,서구,취임,역점,사항,포함,지휘부,부서,월평동,마사회,건물,입주,업무,개시,위축,그간,상권,어려움,지역,소상공인,대덕연구단지,국방과학연구소,카이스트,기계연구원,대전,위치,기관,시너지,효과,지역발전,견인,역할,방위,사업청,최종,계획,건립,이주,직원,안정적,정착,대전시,행정,재정,지원,주력,지정,노루벌,국가,정원,진행,노루벌,아기,노루,엄마,노루,형상,노루,벌판,의미,노루벌,내륙,국가,정원,조성,중부권,대표,국가정원,도시,품격,단계,랜드마크,절차,지방,정원,최소,운영,신청,국가,정원,지정,가능,만큼,2029년,지방정원,운영,2030년,국가,정원,신청,대전시,협력,공동,대응,계획,확정,조성계획,노루벌,지방,정원,조성,계획,계획,사업비,규모,확장,사업비,142만,규모,노루벌,체험,정원,구봉산,갑천친수,대전과학정원,한밭정원,환경생태정원,주제,정원,구상,둔산,지구,단위,계획,변경,공약,둔산,지구,단위,계획,수립,공동,주택,입주,30년,여건,변화,건물,노후,안전,발생,공약,후보자,시절,정부,노후,계획도시,정비,지원,특별법,국회,본회의,통과,근거,마련,대전시,용역,마무리,개정,연내,조례,가능,후보자,시절,이장우,대전,시장,교감,협력,차원,의견,개진,대응,변경,둔산,지구,단위,계획,핵심,사항,층수,완화,용적,인센티브,재건축,가능,도시,활성화,자연,인구,유입,상권,활기,둔산,시작,방향,기업,유치,도심,기업,도심,중심지,대전,서구,괴정동,7만,부지,KT,연수원,취임,KT,경영진,수차례,협의,도심,첨단,복합,산업,단지,조성,공동주택,AI,IoT,센서,기업,유치,벤처빌딩,기관,협약,구역,지정,계획,수립,사업,주거지,중심,서구,도심,일자리,서구,둔산권,비둔산권,연계,발전,민선,서구,유성구,갑천,사이,만년동,일원,일원,유성구,도룡동,특수,영상,콘텐츠,특구,조성,협력,특구,지정,입주,기업,규제,특례,제공,인센티브,확대,유치,민간,자본,확대,방침,서구,방향,기업,유치,도심,기업,도심,인식변화,기업,유치,부지,고정관념,직주,근접,교통,편리,도심,기업,유치,사람,모이,경제,서구,사회적,기업,청화팜,선례들,재고용,정년퇴직,다자녀,공무,근로자,인구정책,그동안,수당,중심,진행,구청장,자체적,판단,공무직들,60세,퇴직,사람들,자녀,연장,근무,공무,재고용,핵심,검토,구청장,권한,구청,공무,330명,공무직,자치단체,근로계약,저출산,자녀,사람,인센티브,국가적,저출산,화두,자치단체,중앙정부,출산,다자녀,부모,근로,기간,연장,근무,안정,아이,희망,제시,구민들,한마디,희망,염원,새해,희망,성취,상징,만큼,구민,기운,희망,성취,지혜,용맹,2024년,도약,견인,미래,약속,청장,출신,충남,홍성군,서철모,서구청장,대전고,충남대,졸업,영국,엑시터대학교,행정학,석사,학위,공주대학교,공과,대학원,도시,계획,박사,학위,행정고시,35회,공직,입문,서기관,행정,자치,장관실,행정안전부,지역,녹색,성장,과장,천안시,부시장,충청남도,기획,조정,실장,행정안전부,지방세,정책관,안전,행정부,UN,공공,행정,포럼,준비단,부단장,국민,대전미래전략위원장,행정부시장,대전시,행정,부시장,역임","노루벌,구청장,국가정원,대전시,둔산,둔산권,방사청,공무직,행정안전부,방위사업청,지방정원,서구청장,사업비,직원들,부단장,구민들,이장우,다자녀,사업청,공주대학교,부시장,부서들","서 철 모 대전 서구청장 
 
 대담=박계교 디지털뉴스2팀장 
 
 '변화와 혁신, 힘찬 서구'를 민선8기 슬로건으로 내건 서철모 서구청장. 민선 8기 서구는 구민의 행복과 구의 발전을 위해 역량을 집결하고, 실행할 방법을 분석해 추진했다. 그 결과 곳곳에서 의미 있는 변화와 값진 성과를 통해 미래를 준비하는 토대를 만들었다는 게 서 구청장의 설명이다...",https://www.daejonilbo.com/news/articleView.html?idxno=2112276,
01400601.20240205145746001,20240205,충청일보,김병한 기자,천안시 이경배 건설교통국장 2023년 겨울방학 아르바이트 학생과 간담회 가져,지역>충남, 지역>경기, 지역>강원,"이경배,유종","충남,임해원,천안시","건설교통국,도시계획위원회,건설교통국장","천안시,이경배,건설,교통국장,겨울,방학,아르바이트,학생과,간담회,충남,천안시,이경배,건설,교통국장,근무,기간,종료,겨울,방학,아르바이트,학생,초청,간담회,의견,격려,간담회,참석,학생들,천안시청,각양각색,행정,마음,체험,용돈,만족,아르바이트,신청,경쟁률,참가,여부,불투명,참여,유종,재학생,관심,천안시,대학,아르바이트,임금,우수,근무환경,전공,바탕,직무경험,인기,도시계획,건축공학,전공,특화,배정,학생들,시청,도로,건설,하천,도시계획,교통,분야,시민들,공무원들,구슬땀,주무관들,업무,설명,격려,유익,행정경험,소감,도시계획과,근무,임해원,학생,도시,계획,위원회,참관,기억,특별,추억,주목,이경배,건설,교통국장,업무,최선,대학생,감사,기간,도전,경험,격려","간담회,천안시,학생들,교통국장,이경배,도시계획,대학생,충남,불투명,공무원들,공무원,구슬땀,시민들,재학생,주무관들,직무경험,경쟁률,주무관,건축공학,행정경험,도시계획과,근무환경,천안,각양각색,천안시청,위원회,임해원,학생과,아르바이트,학생,경험,근무,계획,격려","충남 천안시 이경배 건설교통국장은 5일 근무기간이 오는 8일 종료하는 2023 겨울방학 아르바이트 학생들을 초청, 간담회를 갖고 다양한 의견을 나누며 격려했다. 

간담회에 참석한 학생들은 ""천안시청 곳곳에서 각양각색의 행정을 몸과 마음으로 체험하고 용돈도 벌수 있어 너무 만족했다""며 ""아르바이트 신청 당시 높은 경쟁률로 참가 여부가 다소 불투명했지만 ..",https://www.ccdailynews.com/news/articleView.html?idxno=2255268,
01500801.20240201073550002,20240201,영남일보,서민지,21대 국회의원 공약이행도 51% 대구 56% 경북 57% 완료,지역>대구, 지역>경기, 지역>전남,"김용판,김영식","경북,팔공산,성주,충남,대구,구미을,달서구,인천,예천,광주,청도의료원,대구경북","매니페스토본부,경북,TK,한국매니페스토실천본부,생활의학연구소","공약이행,국회의원,공약,이행,51%,대구,56%,공약,78%,지역개발,대구경북,TK,국회의원들,공약,이행도,절반,수준,한국매니페스토실천본부,매니페스토본부,지역구,국회의원,기준,대상,2개월,공약,이행,의정활동,평가,결과,공약,이행,결과,의원,공약완료율,12월,기준,51.8,3%,51.83%,추진,4천,42.12%,보류,3.03%,폐기,0.80%,기타,2.22%,TK,국회의원,공약이행도,대비,전국,평균,광주,66.86%,인천,63.43%,충남,58.33%,지역,대구,의원,공약,추진,56.87%,1.42%,40.28%,보류,1.42%,폐기,0.00%,기타,1.42%,경북,의원,공약,추진,57.70%,0.62%,38.60%,보류,2.87%,폐기,0.21%,기타,0.62%,대구,보류,공약,팔공산,전국적,관광지,재도약,2호,여건,조성,대구,지하철,육성,경북,성주,연장,헬스,산업,공약,경북,폐기,선포,코로나19,특별,재난,지역,공공기관,기업연수원,유치,생활,의학,연구소,설립,추진,예천,청도의료원,건립,추진,서의,IC-신,도청,도로,건설,공약,보류,매니페스토본부,국회의원,공약,국회의원,입법공약,공약,9천,대비,14.94%,1천,지역,위주,지역공약,78.40%,7천,매니페스토,본부,공약이행도,의정활동,내실화,개정,공직선거법,의정,활동,계획서,제도,필요성,대구,김용판,대구,달서구병,의원,경북,김영식,경북,구미,의원,매니페스토본부,공약이행,의정활동,질의서,의정,활동,회신,의원,분류","대구,경북,국회의원,매니페스토본부,의정활동,공직선거법,코로나19,지역개발,이행도,공약이행,청도의료원,대구경북,질의서,tk,공약이행도","제21대 대구경북(TK) 국회의원들의 공약 이행도는 전체의 절반을 조금 넘긴 수준인 것으로 나타났다.

한국매니페스토실천본부(이하 매니페스토본부)는 31일 지역구 국회의원 251명(지난해 12월 기준)을 대상으로 2개월간 '공약 이행도 및 의정활동' 평가를 실시한 결과를 발표했다.

 공약 이행 분석 결과 의원 251명의 공약완료율(12월 기준)은 51..",https://www.yeongnam.com/web/view.php?key=20240131010003966,
01500051.20240201182751001,20240201,경남신문,이병문,낮은 공약완료율보다 340만 도민 피해가 두렵다,정치>행정_자치, 지역>광주, 지역>경남,조승래,"대전,세종,충남,경남도,부산,유성구,제주,인천,경남지역,경남,강원,광주","방송통신위,더불어민주당,한국매니페스토실천본부,제주,우주항공,한국,인천,경남,광주,국민의힘","공약완료율,피해,도민,경남,지역,국회의원,공약,45.8%,전국,하위,지역,국회의원,의정활동,핵심,입법,정책,역할,정쟁,하수인,전락,경남,도민,손해,의구심,한국매니페스토실천본부,지역구,국회의원,자료,공개,26명,225명,대상,공약이행도,결과,16명,경남,국회의원,공약완료율,광역시,전국,13번,경남,공약완료율,강원,부산,세종,제주,4곳,세종,제주,도시,규모,의원,숫자,경남,비교,대상,경남,국회의원,입법,성적,경남,성적,광주,66.9%,인천,63.4%,충남,58.3%,상위,차지,충격,한국매니페스토실천본부,공약이행,원인,정쟁,공약,지역,공약,78.4%,정도,입법,정책,지역개발,지적,경남,광주,국회의원,공약,차이,국회의원들,결국,지역,국회의원,지역개발,뒷받침,현안,입법,한목소리,생각,경남,더불어민주당,국민의힘,광주,8명,더불어민주당,한국,희망,1명,인천,13명,더불어민주당,국민,2명,경남,광주,인천,정당,분포,우주,항공청,특별법,사례,정쟁,경남,도민,그림자,짐작,갈등,방송통신,위원장,선임,국회의원,더불어민주당,대전,유성구,조승래,어깃장,국가,현안,도민,미래,개청,사천,우주,항공청,뒷받침,입법,1년,허송,결국,우주,항공,복합,도시,입법,회기,공약완료율,정쟁,도민,피해,발생","경남,국회의원,더불어민주당,광주,인천,공약완료율,한국매니페스토실천본부,조승래,사천,특별법,1명,뒷받침,지역개발,세종,제주,국민의힘,2명,항공청,지역구","경남지역 제21대 국회의원 공약완료율이 45.8%로 전국 하위권으로 나타났다. 지역 국회의원들이 의정활동의 핵심인 입법과 정책에서 제 역할을 하지 못하거나, 정쟁의 하수인으로 전락하여 340만 경남도민이 손해를 입지 않을까 하는 의구심마저 든다. 한국매니페스토실천본부가 31일 지역구 국회의원 251명 중 자료를 공개하지 않은 26명을 뺀 225명을 대상..",,
01400501.20240131180308001,20240131,중부일보,신다빈,절반의 성공? 21대 경기도 국회의원 공약 51.96% 완료,정치>행정_자치, 지역>경기, 정치>선거,,"비전1동,충남,경기지역,인천,광주,경기도","정부,한국매니페스토실천본부,국회","절반,성공,51.96%,경기도,국회의원,공약,51.96%,국회의원,경기도,공약,절반,도내,국회의원,공약,보류,폐지,공약,3분,수준,조사,한국매니페스토실천본부,본부,지역구,국회의원,12월,기준,공석,제외,대상,공약,이행,의정활동,평가,결과,51.83%,구체적,추진,4천,보류,폐기,기타,경기,지역,국회의원,공약,51.96%,집계,국회의원,공약,수준,지역별,광주,66.86%,인천,63.43%,충남,58.33%,경북,57.70%,9번,추진,공약,비율,41.7,6%,지역구,국회의원,보류,폐기,공약,364개,도내,국회의원,보류,폐기,공약,111건,30.49%,차지,보류,폐기,공약,지역,공약,확인,보류,공약,지능형,인계중학교,건립,방범,CCTV,지능,전면,교체,추가,설치,신길동,체육관,도서관,건립,폐기,공약,비전1동,신원당,지역,교육,문화,커뮤니티,소통,공간,활성,지원,8단지,설치,주차장,사업,반대,은빛,공원,지하,주차장,주차,해결,본부,국회의원들,공약,지적,동시,극단적,대결정치,공약,이행,도움,본부,국회의원들,입법공약,9천,공약,1천,지역,위주,지역공약,7천,선거과정,의정활동,입법,활동,지역,이슈,관심,설명,국회의원들,공약이행,여당,야당,국회,정부,원활,정부,소통,국회,극단적,정쟁,공약이행,여야,소통,여야,타협,무한,갈등,국회,정부사이,협치,실종,공약이행,발목,강조","국회의원,공약이행,지역구,경기도,주차장,체육관,의정활동,인계중학교,국회의원들,충남,경북,인천,cctv,대결정치,선거과정,협치","제21대 경기도 국회의원의 공약 완료율이 절반을 간신히 넘었다. 

더구나 도내 국회의원이 내건 공약 중에 보류되거나 폐지된 공약이 전체의 3분의 1 수준으로 조사됐다. 

한국매니페스토실천본부(본부)는 31일 지역구 국회의원 251명(지난해 12월 말 기준ㆍ공석 2명 제외)을 대상으로 두 달간 ‘공약이행도 및 의정활동’ 평가를 실시했다. 그 결과 전체..",www.joongboo.com/news/articleView.html?idxno=363633795,
01100501.20240131154805001,20240131,문화일보,김창희,"충남교육청, 학교 통합 메신저 ‘충남이음’ 본격 개통",지역>충남, 지역>경기, 사회>노동_복지,남도현,충남,"교육지원청,도교육청,충남,충남교육청,교육감","충남교육청,학교,통합,메신저,충남,개통,도내,교직원,이용,가능,충남교육청,교육감,김지철,메신저,학교,통합,메신저,충남이음,정식,개통,31일,개통,충남이음,5000명,도내,교직원,대화,메신저,도교육청,직속기관,교육지원청,간부,공무원,여부,사무실,근무,재실,부재중,회의중,재실등,在室燈,메신저,개설,교직원,원활,교직원,소통,정보,교류,가능,인사이동,사용자,인사이동,조직도,반영,정보,자동,사용,이모티콘,시각장애인,스크린리더,단체,대화방,원격지원,화면,글자,소리,스크린리더,10여,충남,교사들,시각,장애인,교사,유용,사용,전망,충남이음,기관,도내,소통,강화,학교,현장,업무,경감,기관,학교,단위,운영,자체,메신저,통합,기관,학교,수립,유지,관리,계획,추진,자체,계약,행정절차,행정,표준화,효율성,학교,정보,기기,개선,유지,관리,체계,메신저,처리시스템,장애,신고,접수,처리,통합,연계구축,신고,장애,발생,장애,접수,처리,일원화,유지관리체계,개선,서비스,품질,학교,현장,교직원들,행정업무,경감,충남,교육청,교직원,대상,공모,메신저,명칭,추진,결과,771편,응모작,사람,사람,의미,충남이음,최종,선정,재무과장,남도현,기간,시범,운영,충남,메신저,개통,학교,현장,경감,교직원,업무,수업,전념,환경,조성,접속,사용자,적응,현장,지원,업무,최선,노력","교직원,충남,충남이음,스크린리더,충남교육청,사용자,장애인,인사이동,남도현,도교육청,사무실,대화방","도내 3만 5000여명 교직원 이용 가능



대전=김창희 기자





충남교육청(교육감 김지철)은 학교 통합 메신저 시스템인 ‘충남이음’을 정식 개통한다고 31일 밝혔다.



이번에 개통되는 ‘충남이음’은 도내 3만 5000명의 전체 교직원들이 대화할 수 있는 메신저이다. 도교육청과 직속기관, 교육지원청 주요 간부 공무원의 사무실 근무 여부(재실,..",http://www.munhwa.com/news/view.html?no=2024013101039927102002,
01400601.20240131133811001,20240131,충청일보,박보성 기자,"충남교육청, 학교 통합 메신저 '충남이음' 본격 개통",지역>충남, 지역>경기, 사회>노동_복지,남도현,충남,"교육지원청,도교육청,충남,충남교육청,교육청","충남교육청,학교,통합,메신저,충남,개통,교직원,소통,정보교환,충남교육청,업무,경감,전망,충남,교육청,메신저,학교,통합,메신저,충남이음&,정식,개통,31일,개통,충남이음&,5천,도내,교직원,대화,메신저,도교육청,직속기관,교육지원청,간부,공무원,여부,사무실,근무,재실,부재중,회의중,재실등,在室燈,메신저,교직원,원활,교직원,소통,정보,교류,가능,인사이동,사용자,인사이동,조직도,반영,정보,자동,사용,이모티콘,시각장애인,스크린리더,단체,대화방,원격지원,화면,글자,소리,스크린리더,10여,충남,교사들,시각,장애인,교사,유용,사용,전망,충남이음&,기관,도내,소통,강화,학교,현장,업무,경감,기관,학교,단위,운영,자체,메신저,통합,기관,학교,수립,유지,관리,계획,추진,자체,계약,행정절차,행정,표준화,효율성,교육청,관계자,학교,정보,기기,개선,유지,관리,체계,메신저,장애,신고,접수,처리,통합,연계구축,신고,장애,발생,장애,접수,처리,일원화,유지관리체계,대폭개선,서비스,품질,학교,현장,교직원들,행정업무,경감,충남,교육청,교직원,대상,공모,메신저,명칭,추진,771편,응모작,사람,사람,의미,충남이음&,최종,선정,재무과장,남도현,기간,시범,운영,충남,메신저,개통,학교,현장,경감,교직원,업무,수업,전념,환경,조성,접속,사용자,적응,현장,지원,업무,최선,노력","교직원,충남,충남교육청,도교육청,스크린리더,교육청,사용자,인사이동,장애인,남도현,충남이음,사무실,대화방","도교육청 3만5천여 명의 교직원 소통 정보교환, 업무경감 전망 충남교육청은 이번 달 30일부터 학교 통합 메신저 시스템인 '충남이음'을 정식 개통한다고 31일 밝혔다. 

이번에 개통되는 '충남이음'은 도내 3만 5천 명의 전체 교직원들이 대화할 수 있는 메신저로써 도교육청과 직속기관, 교육지원청 주요 간부 공무원의 사무실 ..",https://www.ccdailynews.com/news/articleView.html?idxno=2254244,
01400601.20240130140819004,20240130,충청일보,박재춘 기자,"홍성군, 현장 중심의 중앙규제 개선에 앞장",지역>전북, 지역>경기, 지역>강원,김선진,"홍성군,남당항,농수산,추진","홍성군,국토교통부,국무회의,국무조정실","홍성군,현장,중심,중앙,규제,개선,앞장,농수산물,가공,공장,입지,규제,완화,추진,충남,홍성군,현장,중심,중앙,규제,개선,결과,자연녹지지역,설치,농수산물,가공,처리시설,건폐율,완화,산업,생산량,어업인,소득,증대,전망,현행,법률,생산녹지지역,설치,농수산물,가공,처리시설,건폐율,60%,완화,한편,자연녹지지역,별도,규정,건폐,완화,20%,설치,자연녹지지역,기업,입지,어려움,자연녹지지역,농수산물,가공,처리시설,설치,건폐율,설치,건폐,완화,중앙,지속적,의견,규제,개선,제출,결과,법령,개정안,국무회의,통과,공포,개정안,공포,자연녹지지역,농수산물,가공,처리시설,설치,40%,건폐,40%,범위,조례,완화,신속,조례개정,시일,개정안,시행,방침,주민들,불편,제기,취락지역,남당항,인근,취락,지역,용도변경,지구,단위,계획,구역,공동,주택,용지,용도,변경,주민설명회,개최,주민,의견,적극,청취,주민,용도,시설,설치,동시,중심,관광지,역할,유지,경관,친화,건축계획,포함,지구단위계획,변경,기업,입지애로,해소,도시계획차원,컨설팅,제도,운영,도시,계획,규제,운영,어려움,기업,해소방안,제시,행정,절차,이행,마음,기업,여건,조성,주민,기업,불편,사항,해결,우선시,적극,변화,도모,자체적,해결,국무조정실,부처,개선,건의,지역,특화,산업,가공,입지,규제,해소,건폐,규제,완화,지역제한,완화,법령,건의,개정,농림지역,농업,시설,농기계수리점,건축,규정,국토교통부,개선,건의,법령,개정,불합리,제도,적극,발굴,현장,중심,규제,타파,노력,성과,법령,개정,홍성군,규제혁신,중심,도시,확인,계기,김선진,도시,계획,팀장,그동안,입지,애로,기업,도시,계획,컨설팅,해소,방안,제시,중앙,규제,개선,요구,일자리,창출,기업,유치,지속적,노력,성과,관내,수산물,기업,활력,각종,규제,애로,주민,불편,사항,적극,발굴,법령개정,도시,계획,차원,해결,방안,제시,노력,포부","건폐율,자연녹지지역,농수산물,개정안,홍성군,남당항,용도변경,김선진,그동안,입지애로","농수산물 가공공장 입지 규제 완화 추진? 충남 홍성군이 현장 중심의 중앙규제 개선에 앞장선 결과, 자연녹지지역 내에 설치하는 농수산물 가공ㆍ처리시설의 건폐율이 완화되어 관련 산업의 생산량과 농ㆍ어업인의 소득 증대에 보탬이 될 것으로 전망된다. 

현행 법률은 생산녹지지역에 설치하는 농수산물 가공ㆍ처리시설에 대한 건폐율을 60% 이하로 완화할 수 있도록 ..",https://www.ccdailynews.com/news/articleView.html?idxno=2253969,
01400701.20240130190840001,20240130,충청투데이,이심건 기자,"대전시의회 금산군의회, 통합론 한마음 공식 논의 첫 발",지역>대전, 지역>강원, 지역>대구,"대전시,이,김기윤,이상래","대전,충남,금산군의회,동남,금산군,금산,내포","군의회,충남도의회,행정안전부,충남도청,대전시의회,시의회,금산군의회,국회,금산군,행정부,충남도","대전시의회,금산군의회,통합,한마음,공식,논의,대전시의회,금산군의회,대전시,통합,충남,금산군,공식,논의,시작,의회,통합,특별법,제정,행정안전부,국회,통합,절차,진행,의장,대전시의회,이상래,의원들,시의회,의장,금산군의회,김기윤,군의원들,통합,논의,진행,의장,금산군,충남도청,지리,소외감,행정구역,생활권,불일치,지적,대전시,관할로,필요성,행정,구역,변경,강조,금산군,인구,감소,어려움,기업,유치,해결,교육,문화,의료,경제,실질적,개선,생활,서비스,대전시,관할,변경,주장,의장,대전시,금산군,통합,산업,단지,용지,해결,확대,관광,인프라,행복,증가,통합,실현,가능,신중,태도,주민들,의견,여론,강조,군의회,금산군,행정,구역,변경,건의안,만장일치,채택,국회,행정안전부,금산,대전,행정,구역,변경,특별법,제정,촉구,군의회,행정,구역,변경,체계적,지역개발,확대,지역,경제,규모,상생,군의회,금산군,충남,동남쪽,위치,주민들,실질적,생활,서비스,대전시,인프라,이용,행정구역,실제,생활,생활,부담,지적,대전시,금산군,통합,논의,충남도청,대전시,충남,내포,금산군의회,대전시,의회,건의안,행정,구역,변경,채택,대전시,금산군,통합,정치적,법적,주민들,의견,여론,결정적,역할,예상,대전시,금산군,통합,논의,국회,법률안,발의,행정부,제안,금산군,관할,구역,변경,가능,충남도의회,대전시의회,의견,제출,금산군의회,의견,제출,주민투표,요구,주민,투표,금산군,대전,편입,의견,충남도,반대,국회,임기,종료,법률안,의결과,폐기,제기,법률안,의결,폐기,선거,국회의원,공약,채택,추진력,가능성","금산군,대전시,금산군의회,행정구역,대전시의회,법률안,충남,군의회,충남도청,건의안,주민들,국회의원,주민투표,소외감,동남쪽,시의회,가능성","[충청투데이 이심건 기자] 대전시의회와 금산군의회가 대전시와 충남 금산군 통합에 대한 공식 논의를 시작했다. 

두 의회는 향후 통합을 위해 필요한 특별법 제정에 힘을 모으고, 행정안전부와 국회가 통합에 필요한 절차를 진행할 수 있도록 나서기로 했다. 

대전시의회 이상래 의장과 의원들은 29일 시의회에서 금산군의회 김기윤 의장과 군의원들을 만나 통합 ..",https://www.cctoday.co.kr/news/articleView.html?idxno=2190721,
