일자,언론사,기고자,제목,통합 분류1,인물,위치,기관,키워드,keywords,본문,URL,분석제외 여부
20240131,충청일보,박보성 기자,"충남교육청, 학교 통합 메신저 '충남이음' 본격 개통",지역>충남,남도현,충남,"교육지원청,도교육청,충남,충남교육청,교육청","충남교육청,학교,통합,메신저,충남,개통,교직원,소통,정보교환,충남교육청,업무,경감,전망,충남,교육청,메신저,학교,통합,메신저,충남이음&,정식,개통,31일,개통,충남이음&,5천,도내,교직원,대화,메신저,도교육청,직속기관,교육지원청,간부,공무원,여부,사무실,근무,재실,부재중,회의중,재실등,在室燈,메신저,교직원,원활,교직원,소통,정보,교류,가능,인사이동,사용자,인사이동,조직도,반영,정보,자동,사용,이모티콘,시각장애인,스크린리더,단체,대화방,원격지원,화면,글자,소리,스크린리더,10여,충남,교사들,시각,장애인,교사,유용,사용,전망,충남이음&,기관,도내,소통,강화,학교,현장,업무,경감,기관,학교,단위,운영,자체,메신저,통합,기관,학교,수립,유지,관리,계획,추진,자체,계약,행정절차,행정,표준화,효율성,교육청,관계자,학교,정보,기기,개선,유지,관리,체계,메신저,장애,신고,접수,처리,통합,연계구축,신고,장애,발생,장애,접수,처리,일원화,유지관리체계,대폭개선,서비스,품질,학교,현장,교직원들,행정업무,경감,충남,교육청,교직원,대상,공모,메신저,명칭,추진,771편,응모작,사람,사람,의미,충남이음&,최종,선정,재무과장,남도현,기간,시범,운영,충남,메신저,개통,학교,현장,경감,교직원,업무,수업,전념,환경,조성,접속,사용자,적응,현장,지원,업무,최선,노력","교직원,충남,충남교육청,도교육청,스크린리더,교육청,사용자,인사이동,장애인,남도현,충남이음,사무실,대화방","도교육청 3만5천여 명의 교직원 소통 정보교환, 업무경감 전망 충남교육청은 이번 달 30일부터 학교 통합 메신저 시스템인 '충남이음'을 정식 개통한다고 31일 밝혔다. 

이번에 개통되는 '충남이음'은 도내 3만 5천 명의 전체 교직원들이 대화할 수 있는 메신저로써 도교육청과 직속기관, 교육지원청 주요 간부 공무원의 사무실 ..",https://www.ccdailynews.com/news/articleView.html?idxno=2254244,
20240128,충청일보,박재춘 기자,"보령시, 2024년 정보화사업 보안 개인정보 보호교육",IT_과학>보안,이인행,"충남,보령시",보령시,"보령시,정보,사업,보안,개인정보,보호교육,충남,보령시,정보,용역,사업,업체,담당공무원,대상,본청,80여,참석,정보보안,정보,보안,교육,개인,정보,보호,진행,교육,급변,정보,사회,중요,정보보안,개인정보보호,인식,안전,정보,사업,추진,정보화,사업,추진,용역업체,참여,인원,자료,보안관리,사업자,보안,위규,처리,기준,정보보호,법규,정보,보호,최신,보안,동향,설명,개인,정보,보호,유출,사례,개인정보보호,중요성,강조,이인행,홍보,미디어,실장,교육,차질,추진,정보,보안,업무,안전,데이터,관리,정보시스템,안전체계,강화,신뢰성,업무,환경,조성,효율성,교육,추진","정보화,정보보안,개인정보,이인행,정보보호,보령시,사업자,개인정보보호,공무원,신뢰성,효율성,담당공무원,보안관리,충남,중요성,정보시스템,안전체계,용역업체,보호교육,정보,보안,교육,보호,업체,추진","충남 보령시는 26일 정보화 용역사업 업체 및 담당공무원을 대상으로 본청 대회의실에서 80여 명이 참석한 가운데 시스템 정보보안 및 개인정보 보호 교육을 진행했다. 

이번 교육은 급변하는 정보화 사회에서 더욱 중요해진 정보보안 및 개인정보보호에 대한 인식을 높이고 안전한 정보화 사업을 추진하기 위해 실시했다. 

정보화사업 추진에 따른 용역업체의 참여..",https://www.ccdailynews.com/news/articleView.html?idxno=2253353,
20240122,충청일보,김병한 기자,천안시농업기술센터 '정보화교육 초급과정' 교육생 모집,사회>교육_시험,최종윤,"충남,천안시",천안시농업기술센터,"천안시농업기술센터,정보,교육,초급과정,교육,모집,충남,천안시농업기술센터,소장,최종윤,정보화,교육,초급과정&,교육생,모집,22일,정보,교육,정보,역량,향상,농업생산력,개선,계기,마련,교육생,정보,역량,차이,초급,중급,고급,3개,운영,모집,초급교육,정보,역량,농업인,천안시,주소,예비귀농인,대상,진행,교육내용,스마트폰,기초,기초,컴퓨터,문서,작성,구성,교육,신청,2월,이메일,접수,교육,사항,천안시,농업,센터,누리집,공지사항,확인","정보화,천안시농업기술센터,천안시,누리집,교육생,귀농인,예비귀농인,생산력,농업생산력,공지사항,교육내용,최종윤,농업인,스마트폰,충남,교육,모집,정보,역량,농업,사항,컴퓨터,예비,대상,개선,계기,진행,고급,문서,작성,이메일,주소,마련,공지,운영,중급,향상","충남 천안시농업기술센터(소장 최종윤)는 '2024 정보화교육 초급과정' 교육생을 모집한다고 22일 밝혔다. 

2024년 정보화교육은 정보화 역량향상을 통해 농업생산력을 개선하는 계기를 마련하는데 목표를 두고 있으며 교육생 간 정보화 역량차이를 고려해 초급ㆍ중급ㆍ고급 3개 과정으로 운영된다. 

이번에 모집하는 초급교육은 정보화 역량이 거..",https://www.ccdailynews.com/news/articleView.html?idxno=2252410,
20240117,충청일보,박보성 기자,"예산군, 농업인 '맞춤형 정보화 교육' 신청 접수",지역>충남,,"충남,예산군","농업기술센터,귀농지원팀,유튜브,예산군농업기술센터","예산군,농업,교육,맞춤,정보,신청,접수,15일,관내,농업,예산군농업기술센터,대상,선착순,모집,충남,이달,관내,농업인,대상,농업,정보,교육,고급,교육생,선착순,모집,교육,컴퓨터,스마트폰,정보,매체,활용,능력,양성,정예,농업인,전자,상거래,활성,증대,농가,소득,강화,농업,경쟁력,추진,교육,1기,시작,10기,운영,25명,교육,대상,목요일,4일,5시,30분,4시간,진행,농업,정보,교육,참여,희망자,신청,기수,3일,교육,시작,농업,센터,귀농,지원,전화,방문,신청,교육,컴퓨터,인터넷,편집,한글,기초,스마트폰,사진,동영상,제작,블로그,마케팅,인스타그램,릴스,유튜브,쇼츠,마케팅,파워,포인트,엑셀,해소,정보,격차,단계,개설,농업,센터,관계자,컴퓨터,프로그램,활용,체계적,경영관리,활성화,온라인,마케팅,활성,농업,경쟁력,정보,농업,육성,최선","농업인,활성화,교육생,스마트폰,경쟁력,관계자,유튜브,릴스,온라인,충남,1기,선착순","15일부터 관내 농업인 대상 선착순 모집 충남 예산군농업기술센터가 이달 15일부터 관내 농업인을 대상으로 농업인 정보화 교육(초ㆍ중ㆍ고급 과정) 교육생을 선착순 모집한다. 

이번 교육은 컴퓨터, 스마트폰 등 정보 매체 활용 능력을 갖춘 정예 농업인 양성 및 전자상거래 활성화를 통한 농가 소득 증대로 농업 경쟁력 강화를 목표로 추진된다. 

교육은 2월..",https://www.ccdailynews.com/news/articleView.html?idxno=2251521,
20240116,충청일보,박재춘 기자,"보령시, 2024년 시민정보화 교육 신청",지역>충남,이인행,"신청,충남,보령시","보령시,홍보미디어실","보령시,시민,정보,교육,신청,1일,9시,보령시,신청,충남,보령시민,대상,2024년,시민,정보,교육,수강,수강생,모집,교육,한글,기초,활용,스마트폰,기초,스마트폰,활용,엑셀,활용,컴퓨터,기초,활용,기초,ITQ,엑셀,인터넷,활용,포토샵,기초,활용,강좌,신청,대상,보령시민,가능,모집,교육비,무료,12월,13일,55개,단계적,운영,예정,신청,보령시,누리집,서비스,정보화,교육,교육과정,교육신청,가능,보령시,홍보,미디어실,문의,전화,신청,가능,이인행,홍보,미디어,실장,교육,시민들,자아,실현,양질,프로그램,시민,교육,환경","보령시,이인행,스마트폰,보령시민,충남,미디어실,정보화,교육비,누리집,보령,포토샵,시민들,수강생,itq,교육신청,교육과정,교육,신청,시민,활용,가능,홍보,모집,인터넷,대상,수강,엑셀,프로그램,정보","매월 1일 오전 9시부터 신청 충남 보령시는 오는 2월 1일부터 보령시민을 대상으로 '2024년 시민정보화 교육수강생'을 첫 수강생을 모집한다고 밝혔다. 

교육은 △한글 기초ㆍ활용 △스마트폰 기초 △스마트폰 활용 △엑셀활용 △컴퓨터기초ㆍ활용 △ITQ엑셀 △인터넷 기초ㆍ활용 △포토샵 기초ㆍ활용 강좌 등이다. 

신청 대상은 보령시민 누구나..",https://www.ccdailynews.com/news/articleView.html?idxno=2251259,
20240115,중도일보,임붕순 기자,시민이 행복한 서산시 건설을 위한 다양한 활동 추진,지역>충남,"조주형,이병섭,오영애,유양호,성일종,이원식,이원석,임미화,이재언,이정윤,송낙인,이영주,유윤호,유경자,김막녀,한현교,유청,이경애,성광석,송계환,윤여신,김종득","부춘동,서산시,대산읍,충남,경기,음암면,해미면,인지면,아마존,서산시립도서관,오지리,소중2리,고등직업교육거점지구,음암면체육회,서산시립대산도서관,가로림만,운산면,남정2리,성황리,Korea","인지면장,새마을남녀지도자협의회,감사,서산,서산재향경우회,오지리,서산시청,해미면장,신성대학교,새마을지도자협의회,가로림만,국가유공자,해덕사,경우회원,대산읍장,400kg,서산시,토지관리과,대산읍,경우회장,한국관광공사,서산시장,새마을,새마을남·녀지도자협의회,중앙,서산지사,국립어린이청소년도서관,태안,새마을지도자협의회장,경우회,태안경찰서,서산문화복지센터,서산경우회,한국국토정보공사","시민,행복,서산시,건설,활동,추진,서산시,시민,정보,교육,강사,위촉식,간담회,개최,서산시립대산도서관,겨울,독서,교실,성황,서산시,지적,측량수수료,감면,시행,서산재향경우회,성일종,의원,초청,행복,치안,간담회,개최,서산시청,상황실,시민,정보,교육,강사,위촉,사진,간담회,개최,서산시,정보화,시민,정보,교육,강사,위촉,간담회,개최,해소,시민,정보,격차,논의,정보,수준,향상,방법,충남,서산시,상황실,시청,시민,정보,교육,강사,위촉,간담회,개최,서산시,간담회,해소,시민,정보,격차,향상,정보,수준,참석자들,계획,25개,교육,마을교육,일정,교육방법,교육,발전,방안,논의,의견,공유,간담회,현장,강사,의견들,토대,운영,정보,교육,개선,계획,스마트정보과장,한현교,서산시,스마트,정보,과장,시민,눈높이,정보,교육,시민들,디지털,역량,정보화,주력,12월,서산시,평생,학습관,안견,전산교육장,마을회관,평균,강좌,개설,운영,예정,기초과정,컴퓨터,왕초보,한글,문서,작성,중급과정,엑셀,고급과정,동영상,사진,편집,자격증,준비반,시민들,실생활,스마트폰,유익,활용,교육,스마트폰,활용,강화,초급,고급,세분화,계획,교육,희망,시민,29일,서산시청,누리집,정보,교육,문화,체육,정보화,교육안내신청,온라인,서산시,스마트,정보과,전화,신청,서산,문화,복지,센터,공연장,코메딕,공연,모습,서산시,겨울방학,청소년,웃음,선물,힐링,공연,일환,고등,직업,교육,거점,지구,사업,개최,코메딕,공연,충남,서산시,신성대학교,겨울,방학,청소년,코메딕,공연,개최,서산시,코메딕,공연,고등직업교육거점지구,HIVE,사업,일환,학업,청소년,서산,문화,복지,센터,공연장,개최,코메딕,코미디,comedy,메딕,medic,용어,웃음,치료,공연,지역,사회,힐링,개그맨,연극,구성,180석,공연,좌석,자녀,동반,부모,가족,단위,관람객,만석,공연,80여,진행,미디어,매체,청소년들,웃음,호응,성황리,종료,이완섭,서산,시장,고등,직업,교육,거점,지구,사업,추진,대학,지역,시민,프로그램,고안,시민,직업교육,프로그램,제공,노력,고등,직업,교육,거점,지구,사업,공모,사업,선정,2년,40억,재원,마련,연계,지역,특화,분야,교육,연계,평생직업교육,분야,지역,사회,공헌,사업,추진,서산시,겨울,독서,교실,운영,모습,서산시립대산도서관,겨울,독서,교실,성황,개최,방법,초등학생,대상,도서관,이용,그림책,활용,독서,교육,운영,충남,서산시,서산시립대산도서관,12일,겨울,슬로건,진행,겨울독서교실,성황리,마무리,서산시,겨울독서교실,겨울방학,초등학생,학년,대상,독서,흥미,도서관,이미지,운영,독서,문화,프로그램,31일,모집,참가자,방법,도서관,이용,체험,진행,생각,표현,방법,교육,교육,시작,참가자,국립어린이청소년도서관,제작,독서,노트,배지,제공,프로그램,관심도,환경,예술,주제,그림책,아마존,동물,편지,자화상,인물,자화상,활동,참가자들,호응,관장,서산시립도서관,유청,서산시민,독서,흥미,독서문화,향유,최선,독서,문화,프로그램,행사,도서관,주간,방안,독서,활동,지원,추진,서산시청,전경,서산시,지적,측량수수료,감면,시행,농업기반시설,국가유공자,장애인,지적,측량,감면,30%,충남,서산시,관내,농업인,국가유공자,장애인,경제,부담,지적,측량,수수료,한시적,적용,30%,감면,서산시,감면,대상,농업,시설,정부,보조,사업자,저온저장고,곡물,건조기,설치,사업,지적,국가,유공자,장애인,측량,새뜰,마을,사업,대상자,100만,지적,측량,수수료,지불,30%,감면,70만,수수료,지적,측량,349건,감면,신청,506필지,혜택,수수료,감면,제공,수수료,감면,지적,측량,신청,신청,동장,발급,확인증,지원,대상자,국가,독립,유공자,확인서,장애인증명서,지참,사항,서산시,토지,관리과,한국국토정보공사,서산,지사,문의,토지관리과장,조주,서산시,토지,관리과장,대상자,제도,혜택,홍보,계획,서산재향경우회,성일종,국회의원,초청,행복,치안,간담회,사진,서산재향경우회,간담회,성일종,국회의원,초청,행복,치안,확보,태안경찰서,직원,관사,신축,예산,감사패,수여,서산재향경우회,회장,송낙인,국회의원,성일종,간담회,초청,행복,치안,개최,이날,간담회,회원,참석,재선,활동,열정,국정,서산,태안,지역개발,주민,복지,향상,역대,최고,국비,예산,확보,능력,발휘,성일종,국회의원,초청,노고,축하,감사,지역,현안,토론,대안,제시,간담회,개최,자리,송낙,경우회장,성일종,의원,태안경찰서,직원,관사,신축,예산,1억,금년도,설계비,통과,신규,반영,후배들,궁전,선물,복지,향상,기여,선배들,감사,마음,감사패,수여,회장,서산재향경우회,송낙인,회원들,분위기,현안,지역,치안,서산경우회,중앙회,발전,건의,협조,당부,성일종,의원,회원,협조,사랑,감사,발전,지역,치안,방안,경우회원,복지,향상,소견,국가,국민,회원님,노고,업적,최선,경우회,애정,예산협조,다짐,마을남,서산시,부춘동,마을,녀지도자협의회,새해,사진,정기,총회,개최,마을남,서산시,부춘동,마을,녀지도자협의회,새해,정기,총회,개최,마을남,서산시,부춘동,마을,녀지도자협의회,회장,이원식,이경애,부춘동,행정,복지,센터,회의실,회원,참석,정기총회,부춘동,마을,남녀,지도자,협의회,정기,총회,개최,이날,정기,총회,사업,결산,사업계획,마을,사업,계획,논의,협의회장,임기,만료,선거,이원식,마을,지도자,협의회장,연임,마을부녀자협의회장,오영애,부녀회장,선출,이원식,서산시,부춘동,마을,지도자,협의회장,임기,임기,지역발전,마을,발전,최선,서산시,부춘동,마을,지도자,협의회,임원진,회장,이원식,연임,부회장,유양호,문제규,총무,이재언,감사,이원석,선정,부춘동,마을,부녀회,임원진,회장,오영애,부회장,유경자,임미화,총무,이영주,감사,김막녀,선임,이경애,마을,부녀,협의회장,3년,부녀회장님,부춘동,직원,도움,부녀회,그동안,마음,주민,사람,사진,서산시,음암면,화합,체육,대회,개최,서산시,음암면,화합,체육,대회,개최,서산시,음암면,해오름체육관,음암면,음암면체육회,회장,송계환,주최,음암면,화합,체육,대회,개최,이날,체육,회원,면직원,40여,참여,투호,제기차기,윷놀이,종목,진행,참가자들,경기,서로,실력,친목,일상,스트레스,해소,경품,참가자,체육회장,송계환,음암면,체육,회장,체육대회,체육회원,직원,유대감,강화,계기,발전,지역,체육,한마음,노력,강조,서산시,운산면,치매,노인,가정,대상,발품,행정,실천,사진,서산시,운산면,실천,치매,노인,가정,대상,발품,행정,서산시,운산면,면장,이병섭,생활,치매,노인,가정,방문,겨울,후원,물품,지원,도배장판,전기,공사,연계,생활환경,개선,발품행정,실천,이날,방문,치매진단,가족들,능력,어르신,케어,어려움,가정,후원,각종,물품,지원,이장,가족,설득,주간,보호,센터,이용,도배장판,전기,공사,연계,심품,발품행정,운산면,소중,유윤호,이장,어려움,주민,도움,체계적,지원,도움,마을주민,대표,고마움,이병섭,운산,면장,복지사각지대,어려움,가정,발굴,복지사업,취약계층,맞춤,서비스,제공,계획,서산시,대산읍,오지리,마을,종합,안내판,개막식,개최,사진,서산시,대산읍,개최,오지리,마을,종합,안내판,개막식,서산시,대산읍,읍장,윤여신,대산읍장,윤여신,대산,읍장,마을,주민,오지리,마을,종합,안내판,개막식,참여,종합안내판,성공적,설치,축하,오지리,마을,종합,안내판,설치,사업,대산읍,주민,숙원,사업,일환,마을,유래,설치,관광,명소,종합,안내판,관광객,편의,도모,설치,종합안내판,설치,한국관광공사,코리아,리듬,오브,Feel,Rhythm,Korea,서산편,촬영지,유명,오지리,가로림만,갯벌,설명,마을,관광,코스,한눈,오지리,방문객들,이해,윤여신,대산읍,대산읍,오지리,머드맥스,촬영지,가로림만,해양생태계,체험,마을,홍보,관광객들,발길,노력,서산시,인지면,모습,면내,개소,경로당,순회,방문,활동,서산시,인지면,방문,면내,개소,경로당,순회,서산시,인지면,면장,이정윤,8일,12일,경로당,면내,개소,방문,어르신들,새해,인사,건의사항,소통,행정,이정윤,면장,경로당,방문,큰절,부임,인사,신임,면장,포부,어르신들,의견,경청,경로당,수리,물품,지원,어르신들,불편,사항,가능,현장,즉시,처리,검토,사안,부서,전달,해결,조치,노인회장,김종득,남정,인지면,부임,당면업무,경로당,방문,감사,노년,복지,이정윤,면장,노년,인구,증가,경로당,역할,중요,만큼,지속적,순회,방문,어르신들,의견,면정,적극,반영,노력,해덕사,해덕사,400kg,서산시,해미면,기탁,서산시,해미면,면장,성광석,해덕사,주지,공심스님,이웃,전달,신도들,400kg,기탁,해덕사,연초,기탁,기탁,관내,소득,냉장고,이용자,배부,예정,성광석,해미,면장,해덕사,기부,지역,사랑,마음,이웃들,전달","서산시,부춘동,간담회,오지리,참가자,서산,해덕사,경로당,정보화,성일종,도서관,음암면,수수료","서산시청 상황실에서 열린 시민 정보화교육 강사 위촉 및 간담회 개최 사진
서산시, 2024년 시민 정보화교육 강사 위촉... 간담회 개최
시민 정보격차 해소, 정보화 수준 향상 방법 논의 

 충남 서산시는 지난 12일 시청 상황실에서 시민 정보화교육 강사 6명을 위촉하고 간담회를 개최했다고 밝혔다.
서산시에 따르면 이번 간담회는 시민 정보격차 해소와 ..",https://www.joongdo.co.kr/web/view.php?key=20240115010004191,
20240115,대전일보,정관희 기자,"서산시, 시민 정보화교육 강사 위촉 간담회",사회>교육_시험,한현교,"서산시,충남",서산시,"서산시,시민,정보,교육,강사,위촉,간담회,방법,정보,향상,논의,시민정보화,교육,강사,위촉식,사진,서산시,제공,서산,충남,서산시,상황실,시청,시민,정보,교육,강사,위촉,간담회,개최,간담회,해소,시민,정보,격차,향상,정보,수준,참석자들,계획,25개,교육,마을교육,일정,교육방법,교육,발전,방안,논의,의견,공유,간담회,현장,강사,의견들,토대,운영,정보,교육,개선,계획,상황실,시청,시민정보화,교육,강사,간담회,사진,서산시,스마트정보과장,제공,한현교,스마트,정보,과장,시민,눈높이,정보,교육,시민들,디지털,역량,정보화,주력","정보화,간담회,서산시,한현교,시민정보화,서산,참석자,스마트정보과장,충남,참석자들,의견들,위촉식,상황실,마을교육,교육방법,시민들,눈높이, 교육,시민,정보,강사,향상,의견,제공,계획,논의,시청","시민정보화교육 강사 위촉식. 사진=서산시 제공 [서산]충남 서산시는 12일 시청 상황실에서 시민 정보화교육 강사 6명을 위촉하고 간담회를 개최했다. 
 
시에 따르면 간담회는 시민 정보격차 해소와 정보화 수준 향상을 위해 열렸으며 참석자들은 올해 계획된 25개의 교육 과정 및 찾아가는 마을교육에 대한 일정, 교육방법, 교육 발전을 위한 방안 등을 논의하..",https://www.daejonilbo.com/news/articleView.html?idxno=2108067,
20240115,충청일보,송윤종 기자,"서산시, 2024년 시민 정보화교육 강사 위촉",지역>충남,한현교,"서산시,충남","서산시청,서산시,스마트정보과","서산시,정보화,시민,정보,교육,강사,위촉,해소,시민,정보,격차,서산시,정보,수준,향상,방법,논의,충남,상황실,시청,시민,정보,교육,강사,위촉,간담회,개최,간담회,해소,시민,정보,격차,향상,정보,수준,참석자들,계획,25개,교육,마을교육,일정,교육방법,교육,발전,방안,논의,의견,공유,간담회,현장,강사,의견들,토대,운영,정보,교육,개선,계획,한현교,스마트,정보,과장,시민,눈높이,정보,교육,시민들,디지털,역량,정보화,주력,12월,서산시,평생,학습관,안견,전산교육장,마을회관,평균,강좌,개설,운영,예정,기초과정,컴퓨터,왕초보,한글,문서,작성,중급과정,엑셀,고급과정,동영상,사진,편집,자격증,준비반,시민들,실생활,스마트폰,유익,활용,교육,스마트폰,활용,강화,초급,고급,세분화,계획,교육,희망,시민,29일,서산시청,누리집,정보,교육,문화,체육,정보화,교육안내신청,온라인,서산시,스마트,정보과,신청","정보화,서산시,간담회,스마트폰,한현교,충남,시민들,중급과정,전산교육장,안견,교육장,자격증,학습관,고급과정,마을회관,서산시청,준비반,세분화,상황실,참석자,정보과,참석자들,의견들,온라인,누리집,교육방법","시민 정보격차 해소, 정보화 수준 향상 방법 논의 충남 서산시는 지난 12일 시청 상황실에서 시민 정보화교육 강사 6명을 위촉하고 간담회를 개최했다. 

이번 간담회는 시민 정보격차 해소와 정보화 수준 향상을 위해 열렸으며 참석자들은 올해 계획된 25개의 교육 과정 및 찾아가는 마을교육에 대한 일정, 교육방법, 교육 발전을 위한 방안 등을 논의하고 의견..",https://www.ccdailynews.com/news/articleView.html?idxno=2250956,
20240110,충청일보,최성열 기자,"금산군, 2024 정보화교육 진행",지역>전북,,"진산면,충남,금산다락원,제원면,명암리,삼가1리,금산군","유튜브,금산군","금산군,정보,교육,진행,대상,정보,취약,계층,상설교육,농한기,마을이동교육,충남,금산군,지역민,대상,강화,디지털,역량,해소,정보,격차,정보,교육,진행,사진,정보,교육,전문,강사,정보화,금산다락원,청소년의집,정보,교육장,상설교육,농한기,이용,마을이동교육,종류,추진,금산다락원,시작,상설,교육,75명,참여,스마트폰,활용,스마트폰,기초,한글,엑셀,스마트폰,활용,유튜브,블로그,4가지,구성,신청,선정,마을,강사,마을이동교육,19일,제원면,명암리,진산면,삼가,마을,진행,예정,관계자,지역주민,참여,정보화,교육,운영,주민들,정보,능력,향상,교육,수요,파악,주민들,맞춤,교육,지속,추진","정보화,금산다락원,스마트폰,상설교육,마을이동교육,진산면,금산군,주민들,농한기,청소년의집,블로그,명암리,유튜브,제원면,지역주민,관계자,삼가,지역민,충남,교육장,교육,정보","정보화 취약계층 대상.. 상설교육 농한기 찾아가는 마을이동교육 등 충남 금산군이 지역민을 대상으로 디지털 역량 강화와 정보화 격차 해소를 위한 2024년 정보화교육을 진행한다.〈사진〉 

1월 10일 군에 따르면 정보화 교육은 전문 강사를 두고 금산다락원 청소년의집 정보화교육장에서 실시되는 상설교육과 농한기를 이용한 찾아가는 마을이동교육 두 종류로 나눠..",https://www.ccdailynews.com/news/articleView.html?idxno=2250273,
20240110,중부매일,황인제 기자,"금산군, 정보 취약계층 대상 정보화교육 실시",지역>충북,,"진산면,충남,금산다락원,제원면,명암리,삼가1리,금산군",유튜브,"금산군,정보,취약,계층,대상,정보,교육,중부매일,황인제,충남,금산군,군수,박범인,지역,주민,정보,격차,해소,정보,환경,변화,대처,능력,향상,정보화,교육,진행,정보화,금산다락원,청소년의집,정보,교육장,상설교육,농한기,이용,마을이동교육,종류,추진,금산다락원,진행,상설,교육,스마트폰,기초,한글,엑셀,스마트폰,활용,유튜브,블로그,활용,4가지,구성,75명,참여,8일,이달,진행,면별,신청,선정,마을,강사,마을이동교육,이달,19일,제원면,명암리,진산면,삼가,마을,진행,예정,관계자,지역주민,참여,정보화,교육,운영,주민들,정보,능력,향상,교육,수요,파악,주민들,맞춤,교육,지속,추진","정보화,스마트폰,금산다락원,진산면,지역주민,황인제,상설교육,마을이동교육,주민들,금산군,중부매일,청소년의집,명암리,박범인,제원면,삼가,관계자,유튜브,블로그,충남,농한기,교육장,교육,정보","［중부매일 황인제 기자］충남 금산군(군수 박범인)이 10일 지역주민의 정보격차 해소 및 정보환경 변화 대처능력 향상을 위해 정보화교육을 진행한다고 밝혔다. 

군은 금산다락원 청소년의집 정보화교육장에서 실시되는 상설교육과 농한기를 이용한 찾아가는 마을이동교육 두 종류로 나눠 추진한다. 

금산다락원에서 진행되는 1분기 상설교육은 ▷스마트폰 기초 ▷한글&..",www.jbnews.com/news/articleView.html?idxno=1421208,
