words,count,,,군정운영
사업,612,,,인구 5만 자족도시 기반 마련
추진,603,,,지역 성장동력 기업 육성 지역경제 활성화
사업,599,,,차별화 귀농 귀촌 정책 추진 외부인구 유입
추진,428,,,주거 교통 인프라 확충 정주환경 개선
계획,284,,,농업인 행복 지역조성
계획,273,,,농업소득 증대 안전한먹거리 생산기반 구축
지원,262,,,중소농 안정화 생산 유통시장 다변화
시설,247,,,사회적가치 농업경제 육성
신규,239,,,농촌형 스마트농업 지역대표 특화작목 육성
사업비,237,,,최고수준 건강 100세 복지모델
조성,231,,,어린이 어르신 사각지대 통합돌봄시스템
필요,206,,,농촌형 복지정책
지역,204,,,공공의료 기능강화 수요자중심 의료서비스체계
완료,201,,,통합돌봄 공공의료 농촌협약 통합추진 청양형 복지모델
연계,199,,,관광객500만명 칠갑호 천장호 장곡지구 문화 관광 휴양도시
지역,199,,,지역자원 차별화 관광지개발 관광인프라
조성,191,,,문화예술 스포츠마케팅 지역축제 관광산업 활성화
지원,188,,,주민중심 지역공동체 활성화
소요,183,,,읍면주민자치회 역량강화 주민자치발전
환경,181,,,청양 스마트청양운동 고향사랑기부제
운영,180,,,행정참여 군민화합 군민화합축제
시설,171,,,민선7기 미래 청양의꿈 희망
분야,159,,,경기침체 저출산 고령화 인구감소 지역소멸 위기극복
운영,154,,,주요사업 정책발굴 인구5만 자족도시
공사,149,,,역대최대 최대규모 예산확보
군비,140,,,공모사업 국비사업 민간자본유치 가르치는지차체 성장 통합돌봄 선도사업 고령자복지주택 융복합사업 전국확산 푸드플랜 주민자치 마을만들기 청년정책 도단위 기관최대유치 지역성장 성장발판 충남사회적경제혁신타운 충남기후환경교육원 충남학생건강증진통합교육체험관
효과,140,,,선도농업군 농특산물 공동브랜드 칠갑마루 전국5대브랜드 푸드플랜 먹거리종합타운 지역활성화재단 청양먹거리직매장 대전유성점 통합형중간지원조직 기획생산 농가육성 농산물 기준가격보장제 군수품질인증제 지역먹거리 청소년 청년 청년의해 청년수당 청춘거리 쉐어하우스 누구나가게 2주살기 청년프로그램
현황,138,,,민간자본 최대규모 유치 성장동력사업 일반산업단지 비봉면 민간자본 골프장 파크골프장 남양면 구봉광산 108홀 민간아파트 청양읍 하반기 기업유치 농공단지
기대,137,,,보건의료원 의료서비스기관 최신의료장비 건강검진센터 5대암검진 암검진수검률 무료혈액종합검진 폐CT 찾아가는의료원 방문진료 충남최초 외래진료 환자증가 
