뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,top 50,본문,URL,분석제외 여부
01400401.20231031102123003,20231031,중부매일,이병인 기자,청양군 '지역활성화재단 ESG 경영 선언문' 채택,경제>산업_기업, 지역>충남, 지역>대전,,,,"이종필,허지혜",청양군,"지역활성화재단,ESG,활성화재단","선언문,청양군,지역,성화재단,ESG,경영,채택,중부매일,이병,청양군,지역,활성화재단,이사장,이종필,부군수,회의실,재단,직원,워크숍,지역,경영,지역,재단,비전,환경,사회,투명,ESG,경영,선언문,채택,이날,재단,임직원,ESG,경영,선언문,선포,대표,이플아토,허지혜,지역,농산물,활용,천연비누,프로그램,환경,보호,중요성,이종필,이사장,활성화재단,환경,사회,투명경영,사명감,지속적,교육,캠페인,전개,예정,ESG,경영,재단,기초,문화,정착,일상화,노력,재단,지속,가능,농업,농촌,농업인,ESG,경영,계획,수립,체제,구축,예정","esg,청양군,선언문,이종필,이플아토,허지혜,활성화재단,사명감,임직원,천연비누,일상화,중요성,부군수,이사장,농산물,농업인,투명경영,회의실,성화재단,재단,경영,지역,환경,지속,채택","［중부매일 이병인 기자］ 청양군 지역활성화재단(이사장 이종필 부군수)이 31일 재단 회의실에서 직원 워크숍을 열고 '지역을 살리는 경영, 지역과 하나 되는 재단'을 비전으로 한 환경, 사회, 투명(ESG) 경영 선언문을 채택했다. 

이날 재단 임직원 40여 명은 ESG 경영 선언문 선포 후 ㈜이플아토 허지혜 대표로부터 지역 농산물을 활용한 천연비누 만..",www.jbnews.com/news/articleView.html?idxno=1412703,
01400701.20231026161854001,20231026,충청투데이,윤양수 기자,청년 로컬크리에이터 베이스캠프 조성 합심,지역>충남, 지역>대전, 지역>제주,,,,"김용찬,김돈곤",청양군,"충남도립대학교,행정안전부,청양군,자원,충남도립대","합심,청년,로컬크리에이터,베이스캠프,조성,충남도립대학교,청양군,지역,경제,활력,청년,로컬크리에이터,베이스캠프,조성,김용찬,총장,김돈곤,군수,소통공감실,대학,소통,공감실,베이스캠프,로컬,크리에이터,조성,업무,협약,MOU,체결,이날,협약,행정안전부,고향올래,공모,사업,선정,후속,조치,충남도립대,청양군,대학,학생식당,리모델링,베이스캠프,청년,로컬크리에이터,조성,캠프,공간,로컬크리에이터,육성,구축,창작실,스튜디오,교육,휴게실,회의실,창작랩실,청년,정책,활성,프로그램,운영,체험,교육,관광,축제,프로그램,청양군,투어,패스,연계,프로그램,운영,예정,청년들,홍보,체험,프로그램,기획,운영,지역,특색,관광,자원,발굴,생활,인구,증가,도모,방침,김용찬,총장,김돈곤,군수,협약,지역,사회,창업,문화,예술,분야,확장,발전,중요,역할,공감,김용찬,총장,협약,지역사회,문화,생태,풍요,중요,걸음,기관,협력,베이스캠프,로컬,크리에이터,조성,지역,예술가,창작자,예비창업자들,기회,제공,협약,협력,공동,비전,추구,모범사례,제시,지역사회,문화,생태,긍정적,영향,창업,지역,예술,창작,활동,발전,강조","로컬크리에이터,청양군,베이스캠프,김용찬,지역사회,모범사례,창업자,예비창업자들,고향올래,창작실,회의실,창작자,창작랩실,휴게실,학생식당,충남도립대,행정안전부,공감실,랩실","[충청투데이 윤양수 기자] 충남도립대학교와 청양군이 지역경제 활력 제고를 위한 청년 로컬크리에이터 베이스캠프 조성에 손을 맞잡았다. 

김용찬 총장과 김돈곤 군수는 24일 대학 소통공감실에서 ‘로컬 크리에이터 베이스캠프’ 조성을 위한 업무 협약(MOU)을 체결했다. 

이날 맺은 협약은 행정안전부 고향올래(GO鄕 ALL來)’ 공모 사업에 선정된 데 따른..",https://www.cctoday.co.kr/news/articleView.html?idxno=2186411,
01400201.20231025160104002,20231025,대전일보,박대항 기자,청양군-충남도립대 '고향 올래' 사업 업무협약,지역>충남, 지역>대전, 지역>전북,,,,"김용찬,김돈곤","청양군,청양군-충남도립대","행정안전부,충남도립대,도립대학교 소통공감실","청양군,충남도립대,고향,올래,사업,업무,협약,체류,생활,인구,확대,신설,충남도립대,스마트,학과,청양군,군수,김돈곤,충남도립대,총장,김용찬,소통공감실,도립,대학교,올래,행정안전부,고향,공모사업,공동,추진,업무협약,사진,청양군,제공,청양,청양군,군수,김돈곤,충남도립대,총장,김용찬,소통공감실,도립,대학교,올래,행정안전부,고향,공모사업,공동,추진,업무협약,행정안전부,추진,사업,체류,생활,인구,확대,지역대학,창출가,지역,가치,로컬,크리에이터,근거지,베이스캠프,조성,사업계획,제출,선정,창출가,지역,가치,지역,자연환경,문화,자산,창의,아이디어,지역자원,활용,사업,가치,창출,사람들,5000만,사업비,충남도립대,학생,식당,창출가들,지역,가치,창출가,거점,공간,개축,창작실,스튜디오,교육실,작업자,아이디어,공유,공간,코워킹,스페이스,휴게실,예정,충남도립대,창출가,지역,가치,창출가,육성,분야,스마트팜,2024년,충남도립대,스마트,학과,신설,미디어,문화,예술,관계자,전문가들,주민들,의견,경청,전국적,손색,창조,공간,조성,인구,청년,정책,연계,계획","충남도립대,청양군,행정안전부,사업비,창출가,스마트팜,소통공감실,5000만,작업자,업무협약,올래,주민들,전문가,전문가들,관계자,창작실,근거지,휴게실,사람들,교육실,김용찬,베이스캠프",청양군(군수 김돈곤)과 충남도립대(총장 김용찬)가 지난 24일 도립대학교 소통공감실에서 행정안전부 '고향 올래(GO鄕 ALL來)' 공모사업의 공동 추진을 위한 업무협약을 맺었다사진=청양군 제공 [청양]청양군(군수 김돈곤)과 충남도립대(총장 김용찬)가 지난 24일 도립대학교 소통공감실에서 행정안전부 '고향 올래(GO鄕 ALL來)' 공모사업의 공동 추진을 ..,http://www.daejonilbo.com/news/articleView.html?idxno=2092758,
01400201.20231025160104001,20231025,대전일보,박대항 기자,"""먹거리 종합타운 운영으로 국민 건강에 무한 기여""",지역>충남, 지역>전북, 지역>충북,,,,,"탄정리,청양군,대치면,청양","한국농촌경제연구원,청양군,군청,지역활성화재단","운영,먹거리,종합,타운,국민,건강,기여,지자체,전국,단체,벤치마킹,농가,소득,향상,국민,기여,건강,무한,김돈곤,청양,군수,대회의실,군청,정례,브리핑,종합타운,대치면,탄정리,융복합,먹거리,특별,조성,의미,시설,농가,소득,향상,국민,건강,무한,기여,사진,청양군,제공,청양,청양군,생산,안전,먹거리,하드웨어,시설,소프트웨어,구축,결과,로컬푸드,지수,평가,우수,지자체,전국,단체,견학,모범사례,자리,김돈곤,청양,군수,대회의실,군청,정례,브리핑,종합타운,대치면,탄정리,융복합,먹거리,특별,조성,의미,시설,농가,소득,향상,국민,건강,무한,기여,군수,민선,군수,취임,영세농,고령농가,안정적,소득,보장,순환계획,먹거리,종합,순환,계획,푸드플랜,집중,먹거리,종합,타운,시설별,활용,방안,한국농촌경제연구원,계획,푸드,플랜,2018~2022,수립,청양산,먹거리,안전성,공공,확보,농가,소득,증대,정책,소비자,건강,증진,추진,중간,지원,조직,청양군,지역,활성,재단,설립,그해,유성점,먹거리,직매장,개장,군수,품질,인증,제도,시행,농산물,기준,가격,보장,시장,구축,확대,행정력,집중,착공,먹거리,종합타운,1만,대치면,탄정리,면적,사업,균형,발전,사업,농촌,융복합,사업,농촌,자원,융복합,공모,사업비,투자,10일,농산물,출하,안전,검사,농산물,가공,교육,홍보,시설,내년,준공,예정,푸드,플랜,교육,홍보관,제외,조성,시설,준공식,개최,농산물종합가공센터,균형,발전,사업비,면적,규모,준공,농산물,가공,창업,아카데미,교육,추진,103명,수료,시설,곡류,과채,콩류,고구마류,49가지,가공품,생산,유성점,먹거리,직매장,라인,공공,급식,유통,기간,7000여만,매출,물류센터,공공,급식,물류,센터,특별,조정,교부금,준공,시설,위탁,운영,지역활성화재단,학교급식,공공,급식,온라인쇼핑몰,물류,활용,8월,204억,누적,매출,기록,안전,센터,산채,가공,센터,구기자산지유통센터,가공센터,농산물,가공,센터,연계,120톤,연간,고춧가루,48톤,표고버섯,학교급식,공공,급식,유성점,먹거리,직매장,온라인쇼핑몰,매장,전문,유통,군수,생산,안전,먹거리,하드웨어,시설,소프트웨어,구축,지수평가,결과,로컬푸드,지수,평가,우수,우수,대상,군민들,농업,직업,농촌,거주,자긍심,만족감,최선,노력,강조","농산물,사업비,융복합,청양군,푸드플랜,안전성,청양,직매장,소비자,김돈곤,대치면,탄정리",김돈곤 청양군수는 25일 군청 대회의실에서 10월 정례브리핑을 갖고 대치면 탄정리 '융복합 먹거리 종합타운'의 특별한 조성 의미와 8개 시설의 기대효과로 농가소득 향상과 국민 건강에 대한 무한 기여를 들었다.사진=청양군 제공 [청양]청양군이 안전 먹거리 생산을 위한 하드웨어 시설과 소프트웨어 시스템을 구축한 결과 로컬푸드 지수평가 우수를 비롯해 전국 1..,http://www.daejonilbo.com/news/articleView.html?idxno=2092757,
01400601.20231025155348003,20231025,충청일보,이용현 기자,"김돈곤 청양군수 ""먹거리 종합타운 운영, 국민 건강에 무한 기여""",지역>충남, 지역>전북, 지역>충북,,,,김,"군내,탄정리,청양군,대치면,아산시,충남도","한국농촌경제연구원,농식품부,청양군,GAP,군청,지역활성화재단","운영,김돈곤,청양,군수,먹거리,종합,타운,국민,건강,기여,김돈곤,청양,군수,25일,군청,정례,브리핑,대치면,탄정리,융복합,먹거리,종합,타운,특별,조성,의미,시설,농가,소득,향상,국민,건강,무한,기여,군수,민선,군수,취임,영세농,고령농가,안정적,소득,보장,순환계획,먹거리,종합,순환,계획,푸드플랜,집중,먹거리,종합,타운,시설별,활용,방안,청양군,한국농촌경제연구원,계획,푸드,플랜,2018~2022,수립,청양산,먹거리,안전성,공공,확보,농가,소득,증대,정책,소비자,건강,증진,추진,중간,지원,조직,청양군,지역,활성,재단,설립,그해,유성점,먹거리,직매장,개장,군수,품질,인증,제도,시행,농산물,기준,가격,보장,시장,구축,확대,행정력,집중,착공,먹거리,종합타운,19,126,대치면,탄정리,19,126,면적,사업,균형,발전,사업,농촌,융복합,사업,농촌,자원,융복합,공모,사업비,투자,10일,농산물,출하,안전,검사,농산물,가공,교육,홍보,시설,내년,준공,예정,푸드,플랜,교육,홍보관,제외,조성,시설,준공식,개최,농산물종합가공센터,균형,발전,사업비,면적,규모,준공,농산물,가공,창업,아카데미,교육,추진,103명,수료,시설,곡류,과채,콩류,고구마류,49가지,가공품,생산,유성점,먹거리,직매장,라인,공공,급식,유통,기간,7천,매출,물류센터,공공,급식,물류,센터,특별,조정,교부금,준공,시설,위탁,운영,지역활성화재단,학교급식,공공,급식,온라인쇼핑몰,물류,활용,8월,204억,누적,매출,기록,안전,센터,21억,농업,패키지,지원,사업,예산,준공,7월,시행,정책,청양군,푸드,플랜,출하,농산물,안전,의무,핵심,안전,먹거리,산실,잔류,농약,중금속,정확,검사,잔류,농약,중금속,검사,안전,센터,인증제,군수,품질,인증,농약허용기준강화제도,PLS,농가,피해,병행,군수,농산물우수관리,GAP,시설,인증,예정,농산물,전처리,센터,산채,가공,센터,구기자산지유통센터,비화,소개,군수,시설,사무실,화장실,위생실,세척실,공간,사업비,한계,단체,이용,법인,협의,연계,건립,추진,가지,편의,시설,산채,가공,센터,건립,작업자,출입자들,개별,시설,이동,결과,예산,절감,효과,시험가동,내년,운영,농산물,전처리,센터,농식품부,지원,예산,준공,4.8톤,기준,양파,마늘,가공,공공,급식,학교급식,출하,예정,산채,가공,센터,13억,충남도,융복합,유치,예산,준공,센터,연간,산채,세척,증숙,가공,구기자산지유통센터,생산,농가,개별,건조,발생,품질,해소,시설,14억,농식품부,예산,유치,준공,연간,생구기자,가공,90톤,구기자,생산,계획,가공센터,농산물,가공,센터,해썹,인증,예정,시설,2023년,예정,공모,유치,14억,투자,준공,시설,시설,그동안,농산물,가공,농가들,아산시,불편,해소,120톤,연간,고춧가루,48톤,표고버섯,학교급식,공공,급식,유성점,먹거리,직매장,온라인쇼핑몰,매장,전문,유통,지방소멸대응기금,확보,푸드,플랜,교육,홍보관,조성,사업,농가,군내,생산,청양,푸드,플랜,정책,사례,방문,전국,지자체,단체,시설,그동안,교육,공간,전체적,푸드플랜,추진,설명,미흡,해소,공모사업,지방,소멸,대응,기금,공모,사업,유치,사업비,확보,이달,설계,푸드,플랜,교육,홍보관,내년,준공,예정,군수,생산,안전,먹거리,하드웨어,시설,소프트웨어,구축,지수평가,결과,로컬푸드,지수,평가,우수,우수,대상,군민들,농업,직업,농촌,거주,자긍심,만족감,최선,노력","농산물,푸드플랜,사업비,청양군,융복합,안전성,농식품부,중금속","김돈곤 청양군수가 25일 오전 군청 대회의실에서 10월 정례브리핑을 갖고 대치면 탄정리 '융복합 먹거리 종합타운'의 특별한 조성 의미와 8개 시설의 기대효과로 농가소득 향상과 국민 건강에 대한 무한 기여를 들었다. 

김 군수는 ""민선 7기 군수 취임 이후 중,소 영세농과 고령농가의 안정적인 소득 보장을 위해 먹거리 종합 순환계획(푸드플랜..",https://www.ccdailynews.com/news/articleView.html?idxno=2235125,
01400601.20231025155336003,20231025,충청일보,이용현 기자,청양군-충남도립대 '고향 올래' 사업 업무협약,지역>충남, 지역>전북, 지역>대전,,,,,"청양군,충남,청양군-충남도립대","행정안전부,충남도립대,도립대학교 소통공감실","청양군,충남도립대,고향,올래,사업,업무,협약,충남,청양군,충남도립대,소통공감실,도립,대학교,행정안전부,고향,올래,공모사업,공동,추진,업무협약,행정안전부,추진,사업,체류,생활,인구,확대,지역대학,창출가,지역,가치,로컬,크리에이터,근거지,베이스캠프,조성&,사업계획,제출,선정,창출가,지역,가치,지역,자연환경,문화,자산,창의,아이디어,지역자원,활용,사업,가치,창출,사람들,5000만,사업비,충남도립대,학생,식당,창출가들,지역,가치,창출가,거점,공간,개축,창작실,스튜디오,교육실,작업자,아이디어,공유,공간,코워킹,스페이스,휴게실,예정,충남도립대,창출가,지역,가치,창출가,육성,분야,스마트팜,2024년,충남도립대,스마트,학과,신설,미디어,문화,예술,관계자,전문가들,주민들,의견,경청,전국적,손색,창조,공간,조성,인구,청년,정책,연계,계획","충남도립대,사업비,행정안전부,창출가,스마트팜,소통공감실,5000만,작업자,올래,업무협약,주민들,전문가,전문가들,관계자,근거지,베이스캠프,창작실,휴게실,사람들,교육실,대학교,충남,코워킹,공모사업,자연환경","충남 청양군과 충남도립대가 지난 24일 도립대학교 소통공감실에서 행정안전부 '고향 올래(GO鄕 ALL來)' 공모사업의 공동 추진을 위한 업무협약을 맺었다. 

행정안전부가 올해 처음 추진하는 이 사업은 체류,생활 인구 확대를 목표로 하며, 군은 '지역대학과 함께하는 지역 가치 창출가(로컬 크리에이터) 근거지(베이스캠프) 조성&#39..",https://www.ccdailynews.com/news/articleView.html?idxno=2235141,
01400601.20231025153327001,20231025,충청일보,박보성 기자,'충남도립대-청양군' 로컬 크리에이터 베이스캠프 조성 협력,지역>충남, 지역>대전, 지역>제주,,,,"김용찬,김돈곤",청양군,"행정안전부,충남도립대학교,청양군,충남도립대-청양군,자원,충남도립대","충남도립대,청양군,협력,로컬,크리에이터,베이스캠프,조성,활력제고,행정안전부,지역,경제,활력,베이스캠프,조성,업무,협약,충남도립대학교,청양군,지역,경제,활력,청년,로컬크리에이터,베이스캠프,조성,김용찬,총장,김돈곤,군수,소통공감실,대학,소통,공감실,로컬,크리에이터,베이스캠프,조성,업무,협약,MOU,체결,이날,협약,행정안전부,고향올래,공모,사업,선정,후속,조치,충남도립대,청양군,대학,학생식당,리모델링,베이스캠프,청년,로컬크리에이터,조성,캠프,공간,로컬크리에이터,육성,구축,창작실,스튜디오,교육,휴게실,회의실,창작랩실,청년,정책,활성,프로그램,운영,체험,교육,관광,축제,프로그램,청양군,투어,패스,연계,프로그램,운영,예정,청년들,홍보,체험,프로그램,기획,운영,지역,특색,관광,자원,발굴,생활,인구,증가,도모,방침,김용찬,총장,김돈곤,군수,협약,지역,사회,창업,문화,예술,분야,확장,발전,중요,역할,공감,김용찬,총장,협약,지역사회,문화,생태,풍요,중요,걸음,기관,협력,베이스캠프,로컬,크리에이터,조성,지역,예술가,창작자,예비창업자들,기회,제공,협약,협력,공동,비전,추구,모범사례,제시,지역사회,문화,생태,긍정적,영향,창업,지역,예술,창작,활동,발전,강조","로컬크리에이터,청양군,베이스캠프,행정안전부,김용찬,충남도립대학교,지역사회,모범사례,창업자,예비창업자들,창작실,회의실,창작자,창작랩실,휴게실","행정안전부 지역경제 활력제고 위한 베이스캠프 조성 업무협약 충남도립대학교와 청양군이 지역경제 활력 제고를 위한 청년 로컬크리에이터 베이스캠프 조성에 손을 맞잡았다. 

김용찬 총장과 김돈곤 군수는 24일 대학 소통공감실에서 '로컬 크리에이터 베이스캠프' 조성을 위한 업무 협약(MOU)을 체결했다. 

이날 맺은 협약은 행정안전부 고향올래(..",https://www.ccdailynews.com/news/articleView.html?idxno=2235154,
01400351.20231023220206003,20231023,중도일보,최병환 기자,"청양군, 주민 제안 공모사업 선정",지역>충북, 지역>충남, 지역>경남,,,,김돈곤,청양군,"정부,청양군,군청,주민참여예산위원회","청양군,주민,제안,공모,사업,선정,주민참여예산위원회,제안,가결,원안,가결,수정,부결,청양군,대회의실,군청,주민참여예산위원회,본예산,반영,주민,제안,공모,사업,선정,사진,주민참여예산제,지방재정,투명성,민주성,공정성,주민,예산,편성,참여,제도,1달,공모,주민,참여,예산,사업,44건,제안,사업,제안,28건,57%,증가,수치,주민,참여,관심,상승,이날,주민,참여,예산,위원회,제안,부서,검토,20건,심의,가결,원안,가결,수정,3건,부결,김돈곤,군수,내년,정부,지방,교부세,감액,긴축재정,여건,주민,사업,지원","주민참여예산위원회,본예산,청양군,위원회,공정성,20건,투명성,김돈곤,긴축재정,1달,대회의실,3건,교부세,28건,주민참여예산제,지방재정,44건,주민,제안,사업,예산,참여,선정","청양군이 20일 군청 대회의실에서 주민참여예산위원회를 열고 2024년 본예산에 반영할 주민 제안 공모 사업을 선정했다.〈사진〉
주민참여예산제는 지방재정의 투명성과 민주성, 공정성을 높이기 위해 주민이 예산 편성 과정에 참여하는 제도다.
군은 6월 22일부터 7월 21일까지 1달간 주민참여예산 사업 공모를 통해 모두 44건의 제안을 받았다. 이는 지난해 ..",https://www.joongdo.co.kr/web/view.php?key=20231023010006037,
01400601.20231023142418002,20231023,충청일보,이용현 기자,"청양군, 지역발전 위한 주민참여예산위원회 개최",지역>충북, 지역>충남, 지역>강원,,,,김돈곤,"청양군,충남","정부,청양군,주민참여예산위원회","청양군,지역발전,주민,참여,예산,위원회,개최,충남,청양군,대회의실,군청,주민참여예산위원회,본예산,반영,주민,제안,공모,사업,최종,선정,주민참여예산제,지방재정,투명성,민주성,공정성,예산,편성,주민들,참여,제도,1달,공모,주민,참여,예산,사업,44건,제안,제안,사업,28건,57%,증가,수치,주민들,참여도,관심도,상승,주민참여예산위원회,이날,주민,제안,44건,17억,600만,부서,검토,20건,심의,가결,원안,가결,수정,3건,부결,김돈곤,군수,내년도,정부,지방,교부세,감액,긴축재정,여건,주민들,사업,지원,주민들,혜택,제공,주민,참여,예산,제도","주민들,주민참여예산위원회,위원회,청양군,본예산,44건,김돈곤,내년도,600만,공정성,20건,3건,투명성,관심도,긴축재정,17억,대회의실,1달,교부세,지역발전,충남,28건,참여도,주민참여예산제,지방재정","충남 청양군이 지난 20일 군청 대회의실에서 주민참여예산위원회를 열고 2024년 본예산에 반영할 주민 제안 공모 사업을 최종 선정했다. 

주민참여예산제는 지방재정의 투명성과 민주성, 공정성을 높이기 위해 예산 편성 과정에 주민들이 참여하는 제도다. 

군은 지난 6월 22일부터 7월 21일까지 1달간 주민참여예산 사업 공모를 통해 모두 44건의 제안을..",https://www.ccdailynews.com/news/articleView.html?idxno=2234571,
01400601.20231023142418001,20231023,충청일보,이용현 기자,"청양군, 평생학습 문해교육 한마당 행사 개최",지역>충남, 지역>경북, 지역>경기,,,,"김명숙,김돈곤,차미숙","군내,함양,청양군,충남","군의회,충남도의회,청양군,청양문화예술회관,교육부","청양군,개최,평생,학습,문해,교육,마당,행사,교육부,지정,평생,학습,도시,프로그램,만족도,만족도,충남,청양군,청양문화예술회관,2023년,한마당&,평생,학습,문해,교육,마당,행사,학습,결과,공유,선정,교육부,지정,평생,학습,도시,축하,이날,행사,시작,가치,주제,진행,600여,참석,이날,행사,개막식,시작,평생,학습,대상,시상,문해,백일장,시화,체험수기,시상,인형극,청양인형극회,공연,평생학습도시,선포식,문해,전시,백일장,작품,선포식,참석,김돈곤,군수,의장,차미숙,군의회,기획경제위원장,김명숙,충남,도의회,기획,경제,위원장,평생학습,참여,군내,기관,단체,협력,성숙,시민의식,함양,즐거움,도시,다짐,선언문,낭독,기관단체,기관,단체,디지털,문해,교육,독서대,향수,가족,이웃,심폐소생술,부스,평생,학습,체험,운영,볼거리,거리,제공,김돈곤,군수,급변,사회,지식,정보,변화,만큼,평생,학습,문해교육,군민,지원,행복,지역,조성","평생학습,문해,문해교육,충남,백일장,교육부,김명숙,만족도,청양군,평생학습도시,선포식,차미숙,김돈곤,군의회,청양문화예술회관,기관단체,만큼,부스,시민의식,청양,심폐소생술,청양인형극회","교육부 지정 평생학습도시 프로그램으로 만족도 제고 충남 청양군이 지난 20일 청양문화예술회관에서 '2023년 평생학습 문해교육 한마당' 행사를 열어 학습 결과를 공유하고 교육부 지정 평생학습 도시 선정을 축하했다. 

이날 행사는 '함께 시작하고(go), 삶의 가치를 높이고(go)'라는 주제로 진행됐으며, 600여 명이 참석..",https://www.ccdailynews.com/news/articleView.html?idxno=2234567,
