뉴스 식별자,일자,언론사,기고자,제목,통합 분류1,통합 분류2,통합 분류3,사건/사고 분류1,사건/사고 분류2,사건/사고 분류3,인물,위치,기관,키워드,top 50,본문,URL,분석제외 여부
01400401.20231030155110005,20231030,중부매일,장중식 기자,"정부, 이웃 지자체에 상수도 공급 특교세 지원",지역>충남, 지역>충북, 지역>경기,,,,,"은산면,충북,부여군,전북,충남,경기,울진군,강원,보성군,상하수,경북,밀양시,삼척시,광주시,충청권,농공단지,용수,보은군,부여,보은,남원시,전남,음성,경남","정부,부여군,청양군,남해군,행안부,음성군","정부,이웃,지자체,상수도,공급,특교세,지원,중부매일,장중식,지방,상하수도,서비스,개선,효율성,추진,지방,상하수도,경영,효율,우수,사업,공모,결과,지자체,최종,선정,충청권,충남,부여,충북,음성,보은,3곳,선정,행안부,30일,지자체,40억,특별교부세,지원,지방,상하수도,경영,효율,우수,사업,상하수도,시설물,공동,이용,재정,건전화,계곡수,지하수,이용,취약,지역,지방상수도,보급,안정적,공급,시행,사업,2018년,공모,발굴,우수,사업,특별교부세,지원,41개,우수,사업,47개,지자체,선정,특별,교부세,지원,금액,특별,교부세,지원,확대,40억,지원,행안부,그동안,상하수도,시설물,지자체,공동,이용,사업,민간,기업,공급,개선,분야,취약,지역,수질,관리,개선,공모,지자체,사업,공모,참여,심사,서류,전문가,심사,외부,전문가,지자체,우수,사업,최종,선정,충남,부여군,지형,여건,지방,상수도,공급,은산면,일원,지역,인접,충남,청양군,상수관로,활용,지방상수도,공급,사업,추진,543가구,혜택,상수도,보급,부여군,공급,공사비,대비,45억,절감,효과,민간,기업,공급,개선,사업,선정,음성군,음성군,축산물,공판장,농공,단지,기업,용수,부족,해결,지방,상수도,공급,확대,안정화,용수,공급,안정,개선,기업,환경,급수,수익,증대,효과,취약,지역,수질,관리,개선,사업,지자체,선정,수돗물,안정적,공급,경기,광주시,강원,삼척시,충북,보은군,전북,남원시,전남,보성군,경북,울진군,경남,밀양시,경남,남해군,상시,부족,상시,초과,수질,기준,어려움,마을,상수도,이용,주민들,지방상수도,공급,사업,추진","지자체,특별교부세,지방상수도,상하수도,충남,충북,45억,부여군,행안부,경남","［중부매일 장중식 기자］ 지방 상하수도 서비스 개선과 효율성 제고를 위해 추진하는 '지방 상하수도 경영 효율화 우수 사업' 공모 결과, 최종 11개 지자체를 선정했다. 충청권에서는 충남 부여와 충북 음성, 보은 등 3곳이 각각 선정됐다. 

행안부는 30일 이들 지자체에 대해 총 40억 원의 특별교부세를 지원한다고 밝혔다. 

'지방 상하수도 경영 효율..",www.jbnews.com/news/articleView.html?idxno=1412602,사용자 분석 제외
01400201.20231030144631002,20231030,대전일보,박대항 기자,청양군 '달빛마켓' 주민과 함께 풍성한 마무리,지역>경남, 지역>충남, 지역>전남,,,,이춘복,"청양읍,칠갑산,청양군,산동지역,청양지역,정산시장,달빛마켓,벼룩시장,충남도","청양사회경제네트워크,상인회,호수마켓,달빛마켓","청양군,달빛,마켓,주민,마무리,청양군,특색,관광,상품,행사,성장,청양군,시장,상인회,체험,마을,주민자치회,지역기업,활력,상권,달빛마켓,군민,특색,시장,일정,마무리,사진,청양군,제공,청양,청양군,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,달빛마켓,군민,특색,시장,일정,마무리,청춘거리,청양군,청양읍,청춘,거리,달빛마켓,시작,칠갑산,동쪽,지역,정산시장,청양시장,별자리,야시장,합동,청춘,거리,청년,행사,합동,청춘,거리,차례,개최,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,주민,방문,행사,정산,시장,달빛마켓,40여,부스,참여,1500여,방문,생기,청양읍,지역특색행사,산동지역,주민들,호응,2000여,방문,달빛,마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,유명,풍선아트,공연,가족,단위,관람,비율,행사장,아이들,웃음,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,호수,마켓,시작,2018년,주민,지구,걸음,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,달빛마켓,충남도,관협치,우수상,관계자,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","청양군,달빛마켓,부스,청춘거리,청양읍,행사장,충남도,40여,야시장,청양,청양시장,별자리,정산시장,칠갑산,관광상품,달빛","청양군 시장상인회와 체험 마을, 주민자치회, 지역기업 등이 함께하는 등 활력있는 상권 만들기 '달빛마켓'이 생기 넘치는 군민특색 시장으로 올해 일정을 마무리했다.사진=청양군 제공 [청양]청양군 시장상인회와 체험 마을, 주민자치회, 지역기업 등이 함께하는 등 활력있는 상권 만들기 '달빛마켓'이 생기 넘치는 군민특색 시장으로 올해 일정을 마무리했다. 
 
..",http://www.daejonilbo.com/news/articleView.html?idxno=2093672,
01400401.20231030143229002,20231030,중부매일,이병인 기자,청양군 '달빛마켓' 특색있는 광광상품 성장,지역>경남, 지역>전남, 지역>충남,,,,"이춘복,전창수,김돈곤","청양읍,칠갑산,청양군,청춘거리,청양지역,청양,벼룩시장","주민자치회,청양사회경제네트워크,호수마켓,달빛마켓","청양군,달빛,마켓,특색,광광,상품,성장,중부매일,이병,청양군,군수,김돈곤,청춘거리,청양읍,청춘,거리,행사,달빛,마켓,일정,마무리,차례,달빛마켓,개최,청양,시장,시작,칠갑산,동쪽,지역,정산시장,청양시장,별자리,야시장,합동,청춘,거리,청년,행사,합동,청춘,거리,진행,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,5천,주민,방문,행사,달빛마켓,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,이바지,달빛마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,유명,풍선아트,공연,가족,단위,관람,비율,행사장,아이들,웃음,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,호수,마켓,시작,2018년,주민,지구,걸음,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,전창수,사회,경제과장,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","달빛마켓,청춘거리,청양시장,행사장,청양군,야시장,청양,부스,청양읍,전창수,칠갑산,달빛,별자리,장바구니,다회용기,아이들,김돈곤","［중부매일 이병인 기자］ 청양군(군수 김돈곤)이 30일 청양읍 청춘거리에서 열렸던 행사를 끝으로 2023년 '달빛마켓' 일정을 모두 마무리했다. 

모두 다섯 차례 열린 올해 달빛마켓은 4월 청양시장 개최로 시작해 5월 칠갑산 동쪽 지역 최초 정산시장, 6월 청양시장에서 '별자리 야시장'과 합동, 9월 청춘거리에서 청년의 날 행사와 합동, 10월 청춘거..",www.jbnews.com/news/articleView.html?idxno=1412564,
01400601.20231030142826001,20231030,충청일보,이용현 기자,청양군 '달빛마켓' 2023년 모든 일정 마무리,지역>경남, 지역>전남, 지역>충남,,,,이춘복,"청양읍,청양시,칠갑산,정산,청양군,청춘거리,청양시장,충남,청양지역,달빛마켓,벼룩시장,충남도","주민자치회,청양군,청양사회경제네트워크,달빛마켓,달빛마","청양군,달빛,마켓,2023년,일정,마무리,충남,청양군,청춘거리,청양읍,청춘,거리,행사,2023년,달빛마켓&,일정,마무리,30일,차례,달빛마켓,개최,청양,시장,5월,지역,칠갑산,동쪽,정산시장,6월,청양시장,별자리,야시장&,합동,9월,청춘거리,청년,행사,합동,10월,청춘거리,진행,차례,부스,제품,판매,먹거리,체험,벼룩시장,판매,주민,방문,행사,달빛마켓,시장상인회,체험,마을,주민자치회,지역기업,활력,상권,이바지,정산,시장,달빛마켓,40여,부스,참여,1500여,방문,생기,2000여,방문,달빛,마켓,별자리,야시장,합동,개최,달빛마켓,감성적,제품,판매,체험,프로그램,제공,야시장,먹거리,공연,유아,어르신,행복,달빛마켓,청양사회경제네트워크,대표,이춘복,주관,청양,지역,사회,경제,대표,행사,2017년,호수마켓&,시작,2018년,주민,지구,걸음&,구호,행사장,다회용기,사용,비닐,장바구니,이벤트,쿠폰,제공,달빛마켓,충남도,관협치,우수상,관계자,주민,만족,경제,지역,순환,이바지,달빛마켓,지역,특산물,활용,먹거리,소품,강화,특색,관광상품,성장","달빛마켓,부스,청춘거리,야시장,청양,충남도,청양군,40여,달빛,별자리,청양시장,정산시장,청양읍,칠갑산,관광상품,행사장,다회용기,우수상,장바구니,관협치,이춘복,관계자","충남 청양군이 지난 20일 청양읍 청춘거리에서 열렸던 행사를 끝으로 2023년 '달빛마켓' 일정을 모두 마무리했다고 30일 밝혔다. 

모두 다섯 차례 열린 올해 달빛마켓은 △4월 청양시장 개최△5월 칠갑산 동쪽 지역 최초 정산시장△6월 청양시장에서 '별자리 야시장'과 합동△9월 청춘거리에서 청년의 날 행사와 합동△10월 청..",https://www.ccdailynews.com/news/articleView.html?idxno=2236103,
02100501.20231030120155001,20231030,파이낸셜뉴스,김태경 기자 (ktitk@fnnews.com),이웃 지자체에 상수도 공급하면 특별교부세 지원,지역>충남, 지역>경기, 지역>충북,,,,,"은산면,영주시,충북,영주,전북,충남,경기,울진군,강원,보성군,상하,안동시,경북,밀양시,삼척시,북후면,광주시,농공단지,용수,보은군,남원시,전남,경남","정부세종청사,안동시,행정안전부,부여군,청양군,남해군,지방재정경제실장,행안부,음성군","이웃,지자체,상수도,공급,특별,교부세,지원,확대,지원,11개,지자체,선정,행정안전부,정부세종청사,충남,부여군,지형,여건,지방,상수도,공급,은산면,일원,지역,인접,충남,청양군,상수관로,활용,지방상수도,공급,사업,추진,경북,안동시,지자체,지역,경계,인접,지방상수도,공급,경북,영주시,협력,북후면,일원,지역,지방상수도,보급,사업,추진,이웃,지자체,상수도,공급,협력사업,특별교부세,지원,행정안전부,개선,지방,상하수도,서비스,효율성,추진,지방,상하수도,경영,효율,우수,사업,지자체,공모,결과,최종,선정,40억,특별교부세,지원,지방,상하수도,경영,효율,우수,사업,공동이용,상하수도,시설물,공동,이용,재정,건전화,계곡수,지하수,이용,취약지역,지방상수도,보급,안정적,공급,시행,사업,2018년,공모,발굴,우수사업,특별교부세,지원,우수,사업,47개,지자체,선정,특별,교부세,지원,금액,특별,교부세,지원,확대,40억,지원,지자체,상하수도,시설물,공동,이용,사업,민간,기업,공급,개선,취약,지역,수질,관리,개선,분야,공모,지자체,사업,공모,참여,11개,지자체,우수사업,최종,선정,지자체,상하수도,시설물,공동,이용,사업,지자체,선정,충남,부여군,이용,지방,상수도,공동,미급수,가구,혜택,상수도,보급,부여군,공급,공사비,대비,45억,절감,효과,경북,안동시,영주사,협력,사업,70가구,혜택,상수도,보급,안동시,공급,공사비,대비,10억,절감,효과,예상,민간,기업,공급,개선,사업,지자체,선정,용수,공급,안정,기업,급수수익,개선,전망,충북,음성군,축산물,공판장,농공,단지,기업,용수,부족,해결,지방,상수도,공급,확대,용수,공급,안정,기업,환경,개선,효과,급수,수익,증대,취약,지역,수질,관리,개선,사업,지자체,선정,수돗물,안정적,공급,이박,경기,광주시,강원,삼척시,충북,보은군,전북,남원시,전남,보성군,경북,울진군,경남,밀양시,경남,남해군,상시,부족,상시,수질,기준,초과,어려움,마을상수도,이용,주민,지방상수도,공급,사업,추진,수돗물,공급,안정적,공급,주민,생활,불편,해소,효과,행안부,인접,지자체,상하수도,시설물,공동,활용,사업,지자체,경계,협력사업,지원,확대,예정,최병관,지방,재정,경제,실장,경영효율화,지방,상하수도,경영,효율,지자체,협력,창의적,사업,지속적,발굴,지역,공급,서비스,격차,해소","지자체,지방상수도,상하수도,특별교부세,경북,우수사업,취약지역,미급수,충남,협력사업,급수수익,충북,안동시,부여군,행정안전부","지난해보다 2배 확대 총 40억 지원...11개 지자체 선정 
 
[파이낸셜뉴스] 
 행정안전부, 정부세종청사 /사진=연합 
 
 
충남 부여군은 지형 여건상 지방상수도 공급이 어려운 은산면 일원의 미급수 지역에 인접한 충남 청양군의 상수관로를 활용해 지방상수도를 공급하는 사업을 추진한다. 
 
경북 안동시는 지자체 간 경계 인접 지역까지 지방상수도를 ..",http://www.fnnews.com/news/202310301052503587,사용자 분석 제외
01400201.20231029150146002,20231029,대전일보,박대항 기자,청양군 남양면 '전국 최고' 충남도립파크골프장 조성 밑그림 나와,지역>충남, 지역>강원, 지역>대전,,,,"이금용,김태흠,김돈곤","남양면,서울,경기,페어웨이,구봉광산,충남도립파크골프장,청양군,구룡리,교육장,계산,벙커,강관,충남도","스크,대한파크골프협회장,파크골프장,스크린파,충남도립파크골프장,대한파크골프협회,충남도,도청","청양군,남양면,전국,최고,밑그림,충남도립파크,골프장,조성,기본구상,사전조사,용역,최종,보고회,시설,배치,밑그림,제시,18만,부지,면적,18홀,2만,면적,적용,청양,충남도,건립,추진,청양군,남양면,구봉광산,일원,충남도립파크골프장,수준,전국,최고,밑그림,중회의실,도청,강관식,문화체육관광국장,청양군,대한파크골프협회,관계자,10여,참석,기본구상,충남도립파크골프장,기본,구상,최종보고회,사전,조사,용역,최종,보고회,개최,충남도립파크골프장,지사,김태흠,김돈곤,청양,군수,이금용,파크,골프협회장,구룡리,청양군,남양면,구봉광산,일원,서울,대한파크골프협회,사무실,교육센터,파크골프장,규모,파크,골프장,신축,조성,대한파크골프협회,충남도,업무협약,체결,건립,본격화,충남도립파크골프장,부지,방안,경기장,배치,시설,규모,배치,경관,사업비,운영,방안,도출,결과,용역,최종,부지,면적,18홀,2만,면적,적용,용지,16만,건축시설,주차장,승용차,동시,주차,완충녹지,설정,각종,대회,버스,승용차,주차,공간,별도,확보,파크골프장,36홀,3개,특색,코스,구성,계획,페어웨이,벙커,경기장,티하우스,파고라,설치,이용객,편의,노년,이용자,예상,감안,클럽하우스,교육센터,주차장,중앙부,배치,클럽하우스,교육센터,교육장,스크린파크골프연습장,헬스장,근력,측정,운동,처방실,사우,상담실,휴게편의시설,설치,교육센터,3000여,연간,지도자,심판,자격,검정,5000여,지도자,보수,교육,심판,연수,프로그램,교육,센터,운영,시니어,헬스,댄스,요가,파크,골프,교육,스크린파크골프,주말,체육,활동,제시,파크,골프장,외곽,구봉광산,역사전시관,판매시설,설치,사업비,230억,운영,인력,프로그램,운영,코스,관리,15명,운영,파크골프장,이용자,하루,평균,1800명,계산,연간,수입,지출,산출,충남도립파크골프장,설계,용역,공유,재산,심의,내년,준공,계획,김돈곤,청양,군수,충남도립파크골프장,확대,노년,체육,복지,건강,증진,향상,활성화,폐광,지역,활성,지역,경제,활성,효과,파크,골프장,건립,사업,속도,추진,최선,협력,지원","충남도립파크골프장,골프장,파크골프장,승용차,청양군,교육센터,밑그림,대한파크골프협회,경기장,지도자,이용자,김돈곤,사전조사,청양,충남도,구봉광산,주차장,사업비,남양면,기본구상","[청양]충남도가 건립 추진 중인 청양군 남양면 옛 구봉광산 일원의 충남도립파크골프장이 전국 최고 수준으로 만들기 위한 밑그림이 나왔다. 
 
도는 26일 도청 중회의실에서 강관식 도 문화체육관광국장, 청양군과 대한파크골프협회 관계자 등 10여 명이 참석한 가운데 충남도립파크골프장 기본구상 및 사전조사 용역 최종보고회를 개최했다. 
 
충남도립파크골프장은..",http://www.daejonilbo.com/news/articleView.html?idxno=2093410,
01400201.20231029150140001,20231029,대전일보,박대항 기자,㈜이플아토 천연비누 나눔 활동 '맑고 신선해',지역>충북, 지역>대전, 사회>여성,,,,허지혜,"탄자니아,청양군,맥문동,청양지역,캄보디아","㈜이플아토,한국관광공사,캄보디아","이플아토,천연,비누,활동,비누,전달,주민,탄자니아,캄보디아,교회,유치원,비누,봉사,활동,전개,한국관광공사,주민사업체,청양,지역,관광두레,주민,사업체,선정,이플아토,대표,허지혜,지역,농산물,활용,비누,500개,주민들,전달,탄자니아,캄보디아,교회,유치원,비누,봉사활동,전개,감동,사진,청양군,제공,청양,한국관광공사,주민사업체,청양,지역,관광두레,주민,사업체,선정,이플아토,대표,허지혜,천연비누,활동,감동,청양군,여성,가족형,예비사회적,전국,우수,예비,사회,기업,이플아토,사회,가치,실현,4월,10월,5차례,청양군,사회,경제,달빛,마켓,행사장,지역,농산물,활용,비누,500개,주민들,전달,이플아토,탄자니아,캄보디아,교회,유치원,비누,지역,이주여성,여성,경력,단절,학교,청소년,정착,경제활동,지원,이플아토,천연비누,맥문동,구기자,지역,농산물,활용,농가,폐식용유,화학제품,사용,이플아토,경영,성과,바탕,환경,사회,투명,ESG,기업,경영,우수,실천,선정,관계자,이플아토,이주여성,정착,실질적,전수,실현,사회,가치,기업,비누,선행,지역,사회,경제,모범","이플아토,청양군,행사장,청양,관광두레,탄자니아,한국관광공사,주민사업체,허지혜,천연비누,이주여성,봉사활동,폐식용유,화학제품,달빛,가족형,캄보디아,예비사회적,5차례,맥문동,경제활동,유치원,농산물,사업체,관계자","지난 2021년 한국관광공사가 청양지역 관광두레 주민사업체로 선정한 ㈜이플아토(대표 허지혜)가 지역 농산물을 활용한 친환경 비누를 회당 100개씩 모두 500개를 주민들에게 전달하고 탄자니아, 캄보디아 교회와 유치원에 비누 나눔 봉사활동을 전개하는 등 잔잔한 감동을 주고 있다.사진=청양군 제공 [청양]지난 2021년 한국관광공사가 청양지역 관광두레 주민..",http://www.daejonilbo.com/news/articleView.html?idxno=2093382,사용자 분석 제외
01400401.20231028170258006,20231028,중부매일,이병인 기자,㈜이플아토 '천연비누 나눔' 활동,사회>여성, 지역>충북, 지역>대전,,,,허지혜,"탄자니아,청양군,맥문동,청양지역","㈜이플아토,한국관광공사,캄보디아","이플아토,천연,비누,활동,중부매일,이병,한국관광공사,주민사업체,청양,지역,관광두레,주민,사업체,선정,이플아토,대표,허지혜,천연,비누,활동,감동,여성,가족,전국,우수,예비,사회,기업,이플아토,사회,가치,실현,4월,10월,5차례,청양군,사회,경제,달빛,마켓,행사장,지역,농산물,활용,비누,500개,주민들,전달,이플아토,탄자니아,캄보디아,교회,유치원,비누,지역,이주여성,여성,경력,단절,학교,청소년,정착,경제활동,지원,이플아토,천연비누,맥문동,구기자,지역,농산물,활용,농가,폐식용유,화학제품,사용,이플아토,경영,성과,바탕,환경,사회,투명,ESG,기업,경영,우수,실천,선정,전창수,사회,경제과장,이플아토,이주여성,정착,실질적,전수,실현,사회,가치,기업,비누,선행,지역,사회,경제,모범","이플아토,행사장,관광두레,한국관광공사,주민사업체,천연비누,청양군,이주여성,전창수,폐식용유,화학제품,캄보디아,허지혜,주민들,5차례,달빛,맥문동,유치원,탄자니아,사업체,경제활동,농산물,청양,경제과장","［중부매일 이병인 기자］ 지난 2021년 한국관광공사가 청양지역 관광두레 주민사업체로 선정한 ㈜이플아토(대표 허지혜)이 지난 28일 천연비누 나눔 활동을 펼쳐 잔잔한 감동을 주고 있다. 

여성, 가족형 전국 우수 예비사회적기업이기도 한 이플아토는 사회적 가치를 실현하기 위해 지난 4월부터 10월까지 5차례 열린 청양군 사회적경제 달빛마켓 행사장에서 지..",www.jbnews.com/news/articleView.html?idxno=1412393,
01400351.20231027220024001,20231027,중도일보,김성현 기자,"충남도, 전국 최고 도립파크골프장 만든다",지역>충남, 지역>강원, 지역>전북,,,,"이금용,강관식,김태흠,김돈곤","남양면,서울,경기,페어웨이,구봉광산,충남도립파크골프장,道,청양군,구룡리,교육장,계산,벙커,충남도","스크,대한파크골프협회장,파크골프장,스크린파,도립파크골프장,충남도립파크골프장,대한파크골프협회,도청","충남도,도립파크골프장,전국,최고,도립,파크,골프장,기본,사전조사,용역,최종보,고회,시설,배치,규모,운영,방안,밑그림,제시,수준,전국,최고,충남도립파크골프장,밑그림,중회의실,도청,충남도립파크골프장,기본,구상,최종보고회,사전,조사,용역,최종,보고회,개최,강관식,문화체육관광국장,청양군,대한파크골프협회,관계자,10여,참석,이날,보고회,최종,토론,진행,충남도립파크골프장,지사,김태흠,김돈곤,청양,군수,이금용,파크,골프협회장,대한파크골프협회,충남도,업무협약,체결,본격화,협약,구룡리,청양군,남양면,구봉광산,일원,서울,대한파크골프협회,사무실,교육센터,파크골프장,규모,파크,골프장,신축,조성,용역,충남도립파크골프장,부지,방안,경기장,배치,시설,규모,배치,경관,사업비,운영,방안,도출,7월,진행,결과,용역,최종,구체적,면적,부지,18만,전국,파크,골프장,18홀,2만,면적,적용,용지,16만,건축시설,주차장,승용차,동시,주차,완충녹지,설정,각종,대회,버스,승용차,주차,공간,별도,확보,파크골프장,36홀,3개,특색,코스,구성,계획,페어웨이,벙커,경기장,티하우스,파고라,설치,이용객,편의,노년,이용자,예상,감안,클럽하우스,교육센터,주차장,중앙부,배치,클럽하우스,교육센터,교육장,스크린파크골프연습장,헬스장,근력,측정,운동,처방실,사우,상담실,휴게편의시설,설치,교육센터,3000여,연간,지도자,심판,자격,검정,5000여,지도자,보수,교육,심판,연수,프로그램,교육,센터,운영,시니어,헬스,댄스,요가,파크,골프,교육,스크린파크골프,주말,체육,활동,제시,파크,골프장,외곽,구봉광산,역사전시관,판매시설,설치,사업비,230억,운영,인력,프로그램,운영,코스,관리,15명,파크,골프장,운영,연간,수입,지출,산출,이용자,하루,평균,1800명,계산,기간,전국적,충남도립파크,골프장,조성,기간,전국,발생,효과,경제,파급,450억,생산,유발,187억,부가,가치,유발,192명,고용,유발,기본,설계,용역,공유,재산,심의,내년,준공,계획,강관식,국장,충남도립파크골프장,확대,노년,체육,복지,건강,증진,향상,활성화,폐광,지역,활성,지역,경제,활성,효과,건립,사업,속도감,추진,파크골프장,전국,최고,파크,골프장,조기","충남도립파크골프장,골프장,파크골프장,승용차,교육센터,대한파크골프협회,경기장,지도자,이용자,청양군,강관식,구봉광산,사전조사,주차장,사업비,밑그림","전국 최고 수준의 충남도립파크골프장을 만들기 위한 밑그림이 나왔다.
도는 26일 도청 중회의실에서 충남도립파크골프장 기본구상 및 사전조사 용역 최종보고회를 개최했다.
강관식 도 문화체육관광국장, 청양군과 대한파크골프협회 관계자 등 10여 명이 참석한 가운데 연 이날 보고회는 최종 보고, 토론 등의 순으로 진행했다.
충남도립파크골프장은 지난 3월 김태흠 ..",https://www.joongdo.co.kr/web/view.php?key=20231026010007539,
01400401.20231027120247001,20231027,중부매일,황진현 기자,"충남도, '전국 최고' 충남도립파크골프장 내년 7월 첫 삽 2025년 준공",지역>강원, 지역>충남, 지역>대전,,,,강관식,"남양면,서울,경기,페어웨이,구봉광산,충남도립파크골프장,화천,청양군,구룡리,교육장,강원도,계산,벙커,충남도","스크,파크골프장,스크린파크골프,충남도립파크골프장,대한파크골프협회,충남도,도청","충남도,전국,최고,7월,충남도립파크골프장,내년,2025년,준공,중부매일,황진현,충남도,건립,추진,충남도립파크골프장,수준,전국,최고,밑그림,중회의실,도청,충남도립파크골프장,기본,구상,최종보고회,사전,조사,용역,최종,보고회,구룡리,청양군,남양면,구봉광산,일원,서울,대한파크골프협회,사무실,교육센터,파크골프장,규모,파크,골프장,신축,조성,대한파크골프협회,협약,용역,충남도립파크골프장,부지,방안,경기장,배치,시설,규모,배치,경관,사업비,운영,방안,도출,7월,진행,결과,용역,최종,구체적,면적,부지,전국,파크,골프장,18홀,면적,적용,용지,건축,시설,주차장,승용차,동시,주차,7천,완충녹지,6천,설정,각종,대회,버스,승용차,주차,4천,공간,별도,확보,파크골프장,36홀,3개,특색,코스,구성,계획,페어웨이,벙커,경기장,티하우스,파고라,설치,이용객,편의,노년,이용자,예상,감안,클럽하우스,교육센터,주차장,중앙부,배치,클럽하우스,교육센터,교육장,스크린파크골프연습장,헬스장,근력,측정,운동,처방실,사우,상담실,휴게편의시설,설치,교육센터,3천,연간,지도자,심판,자격,검정,5천,지도자,보수,교육,심판,연수,운영,프로그램,시니어,헬스,댄스,요가,파크,골프,교육,스크린파크골프,주말,체육,활동,제시,파크,골프장,외곽,구봉광산,역사전시관,판매시설,설치,사업비,230억,운영,인력,프로그램,운영,코스,관리,15명,파크,골프장,운영,연간,수입,지출,산출,이용자,하루,평균,1천,계산,산천어파크골프장,강원도,화천,산천어,파크,골프장,36홀,이용자,평균,600명,감안,기간,전국적,충남도립파크,골프장,조성,기간,전국,발생,효과,경제,파급,450억,생산,유발,187억,부가,가치,유발,192명,고용,유발,기본,설계,용역,공유,재산,심의,내년,준공,계획,강관식,국장,충남도립파크골프장,확대,노년,체육,복지,건강,증진,향상,활성화,폐광,지역,활성,지역,경제,활성,효과,건립,사업,속도감,추진,파크골프장,전국,최고,파크,골프장,조기","충남도립파크골프장,골프장,파크골프장,승용차,4천,이용자,경기장,지도자,6천,구봉광산,대한파크골프협회,교육센터,7천,18홀,사업비,주차장","［중부매일 황진현 기자］ 충남도가 건립 추진 중인 충남도립파크골프장을 전국 최고 수준으로 만들기 위한 밑그림이 나왔다. 

도는 지난 26일 도청 중회의실에서 충남도립파크골프장 기본구상 및 사전조사 용역 최종보고회를 가졌다. 

도는 청양군 남양면 구룡리 옛 구봉광산 일원으로 서울에 있는 대한파크골프협회를 이전하고 사무실과 교육센터, 108홀 규모 파크..",www.jbnews.com/news/articleView.html?idxno=1412322,
